group,experiment,label,status,message
main_mappo_comparison,mappo_standard_vt_500_final3,MAPPO Standard,loaded,
main_mappo_comparison,mappo_grouped_vt_500_final3,Grouped MAPPO,loaded,
main_mappo_comparison,mappo_grouped_comm_v2_vt_500_final2,Grouped Comm v2,loaded,
weighted_comm_ablation,mappo_grouped_comm_weighted_default_vt_500_final2,Weighted Comm default,loaded,
weighted_comm_ablation,mappo_grouped_comm_weighted_a090_b010_vt_500_final2,Weighted Comm alpha=0.90 beta=0.10,loaded,
weighted_comm_ablation,mappo_grouped_comm_weighted_a055_b045_vt_500_final2,Weighted Comm alpha=0.55 beta=0.45,loaded,
communication_method_comparison,mappo_grouped_comm_v2_vt_500_final2,Grouped Comm v2,loaded,
communication_method_comparison,mappo_grouped_tarmac_vt_500_final2,TarMAC,loaded,
communication_method_comparison,mappo_grouped_gat_vt_500_final2,GAT,loaded,
communication_method_comparison,mappo_grouped_powernet_global_vt_500_final2,PowerNet Global,loaded,
communication_method_comparison,mappo_grouped_dial_vt_500_final2,DIAL,loaded,
communication_method_comparison,mappo_grouped_comm_weighted_default_vt_500_final2,Weighted Comm default,loaded,
independent_agent_baselines,rllib_independent_ppo_vt_80_final2,RLlib Independent PPO,loaded,
independent_agent_baselines,rllib_sac_vt_500_final2,RLlib SAC,loaded,
selected_independent_vs_mappo,rllib_independent_ppo_vt_80_final2,RLlib Independent PPO,loaded,
selected_independent_vs_mappo,rllib_sac_vt_500_final2,RLlib SAC,loaded,
selected_independent_vs_mappo,mappo_standard_vt_500_final3,MAPPO Standard,loaded,
selected_independent_vs_mappo,mappo_grouped_vt_500_final3,Grouped MAPPO,loaded,
