hour,day,hour_of_day,baseline_load,plotted_target_load,grouped_comm_v2,tarmac,gat,powernet_global,dial,weighted_comm_default
0,1,0,89.44082641601562,56.264562810600005,148.61990666389465,133.0019429922104,116.57042837142944,110.30969738960266,123.8602443933487,145.90067303180695
1,1,1,83.0643081665039,56.264562810600005,128.73301815986633,126.37545037269592,101.35010898113252,76.99972999095917,121.6995174884796,137.6718760728836
2,1,2,78.60829162597656,56.264562810600005,149.91564440727234,128.0274817943573,104.38489365577698,108.86315882205965,126.42268931865692,125.19262325763702
3,1,3,83.07950592041016,56.264562810600005,108.34846365451811,84.2627312541008,80.00494921207428,77.19637250900269,101.72763788700104,100.29691183567049
4,1,4,82.75498962402344,56.264562810600005,132.6923632621765,114.32542335987092,114.25714778900146,101.77643036842346,127.743772149086,109.9503390789032
5,1,5,94.54297637939452,56.264562810600005,111.60353660583496,122.32041025161745,125.5966260433197,108.75478053092957,127.07352948188782,117.41790390014648
6,1,6,112.32801055908205,56.264562810600005,135.76370906829834,115.36641204357149,134.69372594356537,119.47645175457,129.18911492824554,122.1537219285965
7,1,7,113.23038482666016,56.264562810600005,97.77180299162865,101.29124188423155,100.3949636220932,86.88003242015839,99.68545725941658,99.81339167058468
8,1,8,113.15670013427734,56.264562810600005,56.68162351846695,53.414135098457336,54.952562034130096,50.88889199495316,87.24025321006775,69.3056446313858
9,1,9,95.74092864990234,56.264562810600005,51.59304177761078,55.16396045684815,40.84380638599396,33.58311998844147,65.76935374736786,73.32509672641754
10,1,10,95.99382781982422,56.264562810600005,-14.194324731826782,-5.172239780426025,-19.921292901039124,-12.54029929637909,17.85060453414917,-5.602335214614868
11,1,11,86.68492126464844,56.264562810600005,-31.857471466064453,-8.764782071113586,-30.96221506595612,-12.119351744651794,1.5230005979537964,4.197032809257507
12,1,12,87.78263854980469,56.264562810600005,-22.54210901260376,-15.406325459480286,-40.99262845516205,-20.95998740196228,-13.26889419555664,-17.94574749469757
13,1,13,76.26077270507812,56.264562810600005,-50.045414686203,-30.12354862689972,-40.33442544937134,-39.47292757034302,-23.30154848098755,-28.80709731578827
14,1,14,70.68318939208984,56.264562810600005,37.99036920070648,8.014529943466187,11.564432263374329,37.77879238128662,7.874664843082428,22.614052176475525
15,1,15,75.01203155517578,56.264562810600005,80.57697683572769,60.672503769397736,88.93648970127106,81.97124761343002,40.27193987369537,85.99404668807983
16,1,16,89.55243682861328,56.264562810600005,115.00102627277374,114.3131468296051,136.2820690870285,149.62690329551697,75.07167059183121,109.54523730278017
17,1,17,88.20510864257812,56.264562810600005,109.18364369869232,110.0227484703064,111.35993874073029,144.48372435569763,103.57888090610504,102.72444117069244
18,1,18,86.31256866455078,56.264562810600005,129.58472740650177,124.21825730800629,143.70979607105255,153.58553850650787,147.94449365139008,99.7129204273224
19,1,19,90.81399536132812,56.264562810600005,130.86570918560028,110.2054055929184,106.98884224891664,135.55438029766083,165.17759680747986,113.1617636680603
20,1,20,91.5804214477539,56.264562810600005,103.6865702867508,97.53363454341888,125.1586663722992,142.12809240818024,169.0045731663704,110.73086822032928
21,1,21,87.5021743774414,56.264562810600005,134.6774218082428,116.1125065088272,142.01542472839355,137.0180730819702,208.79588037729263,100.64740920066832
