hour,day,hour_of_day,baseline_load,plotted_target_load,rllib_independent_ppo,rllib_sac
0,1,0,89.44082641601562,56.264562810600005,111.48798513412476,84.41061663627625
1,1,1,83.0643081665039,56.264562810600005,104.11958718299866,79.91382038593292
2,1,2,78.60828399658203,56.264562810600005,106.2259203195572,84.32923650741577
3,1,3,83.07950592041016,56.264562810600005,99.44438087940216,83.9625586271286
4,1,4,82.75498962402344,56.264562810600005,112.91524767875671,95.79000282287598
5,1,5,94.54297637939452,56.264562810600005,120.21195363998412,113.56007862091064
6,1,6,112.32801055908205,56.264562810600005,128.65632593631744,114.52344214916228
7,1,7,113.23038482666016,56.264562810600005,94.77075171470642,92.43629837036131
8,1,8,113.15670013427734,56.264562810600005,53.34685957431793,44.95688170194626
9,1,9,95.74092864990234,56.264562810600005,42.39508378505707,38.11858105659485
10,1,10,95.99382781982422,56.264562810600005,-17.437722206115723,-21.72780740261078
11,1,11,86.68492126464844,56.264562810600005,-6.884961128234863,-11.584175944328308
12,1,12,87.78263854980469,56.264562810600005,-24.411000609397888,-28.95411622524261
13,1,13,76.26077270507812,56.264562810600005,-33.17923724651337,-38.15460002422333
14,1,14,70.68318939208984,56.264562810600005,17.39628228545189,32.4554009437561
15,1,15,75.1654281616211,56.264562810600005,71.0236536860466,87.78579157590866
16,1,16,87.12435150146484,56.264562810600005,110.92179548740388,118.12093675136566
17,1,17,88.8856430053711,56.264562810600005,105.04573392868042,113.68063187599182
18,1,18,86.67597198486328,56.264562810600005,117.92776036262512,120.04400193691254
19,1,19,90.84392547607422,56.264562810600005,114.46583265066148,123.12134063243866
20,1,20,90.4406509399414,56.264562810600005,123.62212872505188,126.65177285671234
21,1,21,88.04367065429688,56.264562810600005,114.89383792877196,129.23622500896454
22,1,22,75.01090240478516,56.264562810600005,126.81964313983916,137.2086000442505
23,1,23,88.46766662597656,56.264562810600005,135.74019694328308,136.41454422473907
24,2,0,93.01626586914062,103.26987717391668,152.96526980400083,145.20002019405365
25,2,1,111.0084228515625,103.26987717391668,157.90826678276062,142.31944572925568
26,2,2,109.23451232910156,103.26987717391668,162.7120864391327,151.18241155147552
27,2,3,125.17160034179688,103.26987717391668,183.30078077316284,162.80738258361816
28,2,4,139.11488342285156,103.26987717391668,198.4652888774872,174.19611537456512
29,2,5,160.20606994628906,103.26987717391668,224.37729144096372,192.2990634441376
30,2,6,191.719970703125,103.26987717391668,217.295716047287,184.517614364624
