hour,day,hour_of_day,baseline_load,plotted_target_load,mappo_standard,grouped_mappo,grouped_comm_v2
0,1,0,89.44082641601562,56.264562810600005,125.81180000305176,118.04727125167848,148.61990666389465
1,1,1,83.0643081665039,56.264562810600005,67.66537618637085,103.3316468000412,128.73301815986633
2,1,2,78.60828399658203,56.264562810600005,114.39439868927002,107.59060728549956,149.91564440727234
3,1,3,83.07950592041016,56.264562810600005,91.71913695335388,111.4018008708954,108.34846365451811
4,1,4,82.75499725341797,56.264562810600005,120.3695604801178,115.15927529335022,132.6923632621765
5,1,5,94.54297637939452,56.264562810600005,173.02863359451294,143.71317422389984,111.60353660583496
6,1,6,112.32801055908205,56.264562810600005,166.78453946113586,116.57564628124236,135.76370906829834
7,1,7,113.23037719726562,56.264562810600005,124.42212611436844,115.43495655059814,97.77180299162865
8,1,8,113.15670013427734,56.264562810600005,40.5388046503067,73.22625279426575,56.68162351846695
9,1,9,95.74092864990234,56.264562810600005,65.90339231491089,35.72374999523163,51.59304177761078
10,1,10,95.99382019042967,56.264562810600005,-1.4680873155593872,-33.76877808570862,-14.194324731826782
11,1,11,86.68492126464844,56.264562810600005,20.366379499435425,-12.324953079223633,-31.857471466064453
12,1,12,87.78263854980469,56.264562810600005,-14.071122169494627,-43.69653856754303,-22.54210901260376
13,1,13,76.26077270507812,56.264562810600005,-31.941623270511627,-46.02437102794647,-50.045414686203
14,1,14,70.68318939208984,56.264562810600005,-5.519207954406738,27.357803225517277,37.99036920070648
15,1,15,73.29805755615234,56.264562810600005,42.515991538763046,78.75181341171265,80.57697683572769
16,1,16,85.19406127929688,56.264562810600005,99.96473610401154,129.0804557800293,115.00102627277374
17,1,17,88.46739196777344,56.264562810600005,146.65483331680298,97.82169556617735,109.18364369869232
18,1,18,89.54195404052734,56.264562810600005,159.9849853515625,111.26845860481262,129.58472740650177
19,1,19,93.20938873291016,56.264562810600005,163.4680380821228,90.9912005662918,130.86570918560028
20,1,20,93.98125457763672,56.264562810600005,140.55503869056702,121.27402460575104,103.6865702867508
21,1,21,89.02389526367188,56.264562810600005,138.65310645103455,111.43015205860138,134.6774218082428
22,1,22,77.41748046875,56.264562810600005,145.21056067943573,118.97637057304382,152.92117059230804
23,1,23,90.09457397460938,56.264562810600005,146.91824650764465,104.92465329170228,164.63591122627258
24,2,0,93.25482177734376,103.26987717391668,162.17291140556335,151.3319262266159,165.77472722530365
25,2,1,111.00608825683594,103.26987717391668,163.9702603816986,139.48159909248352,156.09208977222443
26,2,2,107.96758270263672,103.26987717391668,163.56281566619873,172.81249117851257,144.94231915473938
27,2,3,122.88765716552734,103.26987717391668,173.30985832214355,202.58630657196045,149.7595705986023
28,2,4,134.41224670410156,103.26987717391668,195.72168135643005,200.5778701305389,156.67264997959137
29,2,5,160.33810424804688,103.26987717391668,234.32498502731323,227.73584294319156,186.6182632446289
30,2,6,196.8340759277344,103.26987717391668,225.16704535484317,238.92516899108887,178.97023248672485
31,2,7,199.1270446777344,103.26987717391668,180.2318767607212,190.0242056846619,196.90060818195343
32,2,8,193.43800354003903,103.26987717391668,140.60366368293762,164.93485569953918,146.3406958580017
33,2,9,201.61245727539065,103.26987717391668,72.25317430496216,130.54099082946777,80.53914487361908
34,2,10,197.0077972412109,103.26987717391668,46.92001867294312,95.63496851921082,50.826005697250366
35,2,11,196.6265563964844,103.26987717391668,5.681893825531006,56.724605560302734,14.88146185874939
36,2,12,173.9818878173828,103.26987717391668,67.29721474647522,22.15881586074829,20.72443652153015
37,2,13,184.43746948242188,103.26987717391668,32.862192153930664,53.20025324821472,11.245070099830627
38,2,14,170.04078674316406,103.26987717391668,160.39393091201782,89.31172943115234,72.37137079238892
39,2,15,170.65335083007812,103.26987717391668,203.29863542318344,181.37797796726227,178.88276028633118
40,2,16,209.06497192382807,103.26987717391668,231.28632974624637,192.79962837696075,200.65077364444733
41,2,17,206.89862060546875,103.26987717391668,223.3897488117218,184.7422466278076,236.5262644290924
42,2,18,204.05137634277344,103.26987717391668,235.66550588607788,204.3958569765091,224.2015008926392
43,2,19,215.13986206054688,103.26987717391668,255.19356036186215,221.81488347053528,266.34138917922974
44,2,20,243.81236267089844,103.26987717391668,238.8969295024872,202.9350215792656,249.36355447769165
45,2,21,206.53887939453125,103.26987717391668,262.23989748954773,209.70676803588867,267.29035782814026
46,2,22,209.2215118408203,103.26987717391668,247.4611313343048,222.87033128738403,232.38842630386355
47,2,23,188.7257232666016,103.26987717391668,248.525465965271,218.40201330184937,237.8005394935608
48,3,0,191.22564697265625,121.463727324625,252.47092509269717,232.75278425216675,234.0617537498474
49,3,1,195.45355224609372,121.463727324625,256.4352686405182,250.21598172187805,238.9692759513855
50,3,2,204.0867919921875,121.463727324625,230.6240622997284,235.5149130821228,238.42214107513428
51,3,3,209.34249877929688,121.463727324625,234.65305709838867,243.332866191864,241.44824361801147
52,3,4,215.1459808349609,121.463727324625,252.472104549408,247.330094575882,242.84578895568848
53,3,5,223.8262634277344,121.463727324625,231.715265750885,257.0246276855469,248.3585476875305
54,3,6,234.08485412597656,121.463727324625,299.36887311935425,249.05758237838745,236.26083993911743
55,3,7,246.6231689453125,121.463727324625,257.6974510550499,256.6344094276428,270.26667881011963
56,3,8,260.7745056152344,121.463727324625,274.137586593628,219.44113194942477,252.79871320724487
57,3,9,273.909423828125,121.463727324625,137.0090936422348,125.11403155326845,172.0726101398468
58,3,10,216.5391082763672,121.463727324625,72.95414233207703,96.73806357383728,85.38947892189026
59,3,11,182.6581115722656,121.463727324625,22.970361948013306,41.046950340271,39.04010045528412
60,3,12,177.53268432617188,121.463727324625,65.67740428447723,40.65945184230805,26.451445817947388
61,3,13,160.86862182617188,121.463727324625,75.50397336483002,53.43769419193268,46.28034424781799
62,3,14,148.90077209472656,121.463727324625,84.31784039735794,79.06603860855103,58.264180123806
63,3,15,141.17320251464844,121.463727324625,143.63479509949684,126.4315345287323,143.91601765155792
64,3,16,141.76026916503906,121.463727324625,163.0965075492859,150.25914919376373,165.58799386024475
65,3,17,153.20361328125,121.463727324625,135.4664707183838,153.38518637418747,167.4444472193718
66,3,18,143.68258666992188,121.463727324625,149.46982526779175,151.61074042320251,165.25124096870422
