hour,day,hour_of_day,baseline_load,plotted_target_load,rllib_independent_ppo,rllib_sac,mappo_standard,grouped_mappo
0,1,0,89.44082641601562,56.264562810600005,111.48798513412476,84.41061663627625,125.81180000305176,118.04727125167848
1,1,1,83.0643081665039,56.264562810600005,104.11958718299866,79.91382038593292,67.66537618637085,103.3316468000412
2,1,2,78.60828399658203,56.264562810600005,106.2259203195572,84.32923650741577,114.39439868927002,107.59060728549956
3,1,3,83.07950592041016,56.264562810600005,99.44438087940216,83.9625586271286,91.71913695335388,111.4018008708954
4,1,4,82.75498962402344,56.264562810600005,112.91524767875671,95.79000282287598,120.3695604801178,115.15927529335022
5,1,5,94.54297637939452,56.264562810600005,120.21195363998412,113.56007862091064,173.02863359451294,143.71317422389984
6,1,6,112.32801055908205,56.264562810600005,128.65632593631744,114.52344214916228,166.78453946113586,116.57564628124236
7,1,7,113.23038482666016,56.264562810600005,94.77075171470642,92.43629837036131,124.42212611436844,115.43495655059814
8,1,8,113.15670013427734,56.264562810600005,53.34685957431793,44.95688170194626,40.5388046503067,73.22625279426575
9,1,9,95.74092864990234,56.264562810600005,42.39508378505707,38.11858105659485,65.90339231491089,35.72374999523163
10,1,10,95.99382781982422,56.264562810600005,-17.437722206115723,-21.72780740261078,-1.4680873155593872,-33.76877808570862
11,1,11,86.68492126464844,56.264562810600005,-6.884961128234863,-11.584175944328308,20.366379499435425,-12.324953079223633
12,1,12,87.78263854980469,56.264562810600005,-24.411000609397888,-28.95411622524261,-14.071122169494627,-43.69653856754303
13,1,13,76.26077270507812,56.264562810600005,-33.17923724651337,-38.15460002422333,-31.941623270511627,-46.02437102794647
14,1,14,70.68318939208984,56.264562810600005,17.39628228545189,32.4554009437561,-5.519207954406738,27.357803225517277
15,1,15,75.1654281616211,56.264562810600005,71.0236536860466,87.78579157590866,42.515991538763046,78.75181341171265
16,1,16,87.12435150146484,56.264562810600005,110.92179548740388,118.12093675136566,99.96473610401154,129.0804557800293
17,1,17,88.8856430053711,56.264562810600005,105.04573392868042,113.68063187599182,146.65483331680298,97.82169556617735
18,1,18,86.67597198486328,56.264562810600005,117.92776036262512,120.04400193691254,159.9849853515625,111.26845860481262
19,1,19,90.84392547607422,56.264562810600005,114.46583265066148,123.12134063243866,163.4680380821228,90.9912005662918
20,1,20,90.4406509399414,56.264562810600005,123.62212872505188,126.65177285671234,140.55503869056702,121.27402460575104
21,1,21,88.04367065429688,56.264562810600005,114.89383792877196,129.23622500896454,138.65310645103455,111.43015205860138
22,1,22,75.01090240478516,56.264562810600005,126.81964313983916,137.2086000442505,145.21056067943573,118.97637057304382
23,1,23,88.46766662597656,56.264562810600005,135.74019694328308,136.41454422473907,146.91824650764465,104.92465329170228
24,2,0,93.01626586914062,103.26987717391668,152.96526980400083,145.20002019405365,162.17291140556335,151.3319262266159
25,2,1,111.0084228515625,103.26987717391668,157.90826678276062,142.31944572925568,163.9702603816986,139.48159909248352
26,2,2,109.23451232910156,103.26987717391668,162.7120864391327,151.18241155147552,163.56281566619873,172.81249117851257
27,2,3,125.17160034179688,103.26987717391668,183.30078077316284,162.80738258361816,173.30985832214355,202.58630657196045
28,2,4,139.11488342285156,103.26987717391668,198.4652888774872,174.19611537456512,195.72168135643005,200.5778701305389
