hour,day,hour_of_day,baseline_load,plotted_target_load,weighted_comm_default,weighted_comm_alpha090_beta010,weighted_comm_alpha055_beta045
0,1,0,89.44082641601562,56.264562810600005,132.3256368637085,133.74618113040924,126.8541852235794
1,1,1,83.0643081665039,56.264562810600005,121.19960188865662,141.08899784088135,110.2758778333664
2,1,2,78.60828399658203,56.264562810600005,126.57996439933775,136.48840939998627,114.6320868730545
3,1,3,83.07950592041016,56.264562810600005,109.6000052690506,130.1142784357071,117.1772266626358
4,1,4,82.75498962402344,56.264562810600005,131.0216053724289,120.51134479045868,100.62680840492249
5,1,5,94.54298400878906,56.264562810600005,154.68719577789307,124.80353856086732,129.7150363922119
6,1,6,112.32801055908205,56.264562810600005,132.08326601982117,140.70611894130707,112.24335706233978
7,1,7,113.23038482666016,56.264562810600005,113.00422543287276,100.47026589512824,88.93590494990349
8,1,8,113.15670013427734,56.264562810600005,69.48735022544861,61.39870762825012,71.96293145418167
9,1,9,95.74092864990234,56.264562810600005,51.82193696498871,56.56005024909973,74.60772180557251
10,1,10,95.99382781982422,56.264562810600005,-3.0433093309402466,-7.751437664031982,-22.252227544784542
11,1,11,86.68492126464844,56.264562810600005,-6.05414092540741,-14.33214235305786,21.323867321014404
12,1,12,87.78263854980469,56.264562810600005,-19.321669697761536,-17.945385336875916,-19.283515095710754
13,1,13,76.26077270507812,56.264562810600005,-35.22625136375427,-31.96099853515625,-2.601814866065979
14,1,14,70.68318939208984,56.264562810600005,-19.964701771736145,-4.605235278606415,-6.2579485476017
15,1,15,70.36216735839844,56.264562810600005,33.83256310224533,62.097341895103455,47.24322420358658
16,1,16,84.62102508544922,56.264562810600005,92.624169588089,87.32729780673981,66.08923697471619
17,1,17,88.00291442871094,56.264562810600005,91.3929328918457,82.58477473258972,93.95422846078873
18,1,18,85.04981994628906,56.264562810600005,92.7772845029831,84.3540832400322,106.26393020153046
19,1,19,88.33499908447266,56.264562810600005,102.55891144275664,87.9116119146347,108.28457009792328
20,1,20,89.47093200683594,56.264562810600005,89.00278323888779,74.59147095680237,108.04943692684174
21,1,21,85.260009765625,56.264562810600005,109.08429884910583,89.40008819103241,114.47113049030304
22,1,22,72.31709289550781,56.264562810600005,90.66471183300018,79.5372143983841,112.51904106140135
23,1,23,81.33448028564453,56.264562810600005,91.91164964437483,105.77713638544084,98.38965928554536
24,2,0,79.92729187011719,103.26987717391668,98.10451567173004,103.98907178640366,122.19472646713255
25,2,1,93.61215209960938,103.26987717391668,83.18348336219788,100.7663379907608,111.27086198329926
26,2,2,89.46907806396484,103.26987717391668,98.03370296955109,98.30713593959808,115.66779017448424
27,2,3,103.59323120117188,103.26987717391668,133.05353307724,117.438685297966,117.0663492679596
28,2,4,121.34213256835938,103.26987717391668,138.23075819015503,133.0996479988098,138.57721185684204
29,2,5,140.25250244140625,103.26987717391668,188.2577428817749,140.52715730667114,166.84505462646484
30,2,6,180.8502197265625,103.26987717391668,192.4994425773621,141.1118848323822,150.5183711051941
31,2,7,183.33514404296875,103.26987717391668,159.89052516222,126.27413338422777,147.26964485645294
32,2,8,185.31871032714844,103.26987717391668,112.97964310646056,97.2904407978058,119.75075209140778
33,2,9,190.56802368164065,103.26987717391668,87.2642023563385,52.641703605651855,89.96856546401978
34,2,10,191.22317504882807,103.26987717391668,33.384984850883484,35.2176638841629,3.883281946182251
35,2,11,182.63357543945312,103.26987717391668,-2.64387595653534,6.7909252643585205,-6.021452188491821
36,2,12,154.88038635253906,103.26987717391668,3.102482557296753,13.688430070877075,-18.48007106781006
37,2,13,152.3742218017578,103.26987717391668,10.722561597824097,14.859307527542114,11.183467030525208
38,2,14,146.05152893066406,103.26987717391668,67.09185540676117,75.78822350502014,39.09888684749603
39,2,15,144.37615966796875,103.26987717391668,158.9130539894104,133.70397502183914,108.46466898918152
40,2,16,179.49142456054688,103.26987717391668,174.30397605895996,159.6643581390381,155.30281007289886
41,2,17,181.7294464111328,103.26987717391668,191.69037866592407,158.0500284433365,174.4338413476944
42,2,18,189.4063873291016,103.26987717391668,213.16379714012143,178.53776264190674,188.86905360221863
43,2,19,202.237548828125,103.26987717391668,237.8303894996643,209.09005665779117,220.967052936554
44,2,20,234.6728515625,103.26987717391668,195.66120886802676,191.60591959953308,208.9937698841095
45,2,21,194.57815551757807,103.26987717391668,201.8072574138641,161.75638365745544,174.91040205955505
46,2,22,190.91542053222656,103.26987717391668,167.48608684539795,177.2001392841339,162.85268545150757
47,2,23,173.98619079589844,103.26987717391668,172.03549814224243,163.5145354270935,162.69401288032532
48,3,0,170.06907653808594,121.463727324625,166.4616973400116,187.97964644432068,157.16593611240387
49,3,1,177.75889587402344,121.463727324625,188.6236197948456,176.00865936279297,161.2305190563202
50,3,2,184.66946411132807,121.463727324625,194.53182721138,200.4080777168274,164.0323634147644
51,3,3,192.2241058349609,121.463727324625,188.30189061164856,212.3557617664337,175.0759584903717
52,3,4,192.7292633056641,121.463727324625,194.111469745636,208.1720576286316,188.5006651878357
53,3,5,199.5178985595703,121.463727324625,205.0677273273468,229.7489857673645,194.9073486328125
54,3,6,212.013671875,121.463727324625,226.3430976867676,233.7448573112488,229.80810379981995
55,3,7,228.35513305664065,121.463727324625,215.31952023506165,245.7099392414093,237.1486747264862
56,3,8,243.25755310058597,121.463727324625,237.5478457212448,231.36963200569156,222.8054161667824
57,3,9,257.7906799316406,121.463727324625,115.59477734565736,103.42431044578552,117.16651010513306
58,3,10,201.0415802001953,121.463727324625,57.58362889289856,63.906700134277344,76.48602938652039
59,3,11,164.6466827392578,121.463727324625,15.304438829421995,17.635249614715576,42.01922821998596
60,3,12,160.3088836669922,121.463727324625,20.92433106899261,22.48473215103149,39.61139452457428
61,3,13,145.61268615722656,121.463727324625,47.811962485313416,32.2523478269577,38.89333140850067
62,3,14,131.66433715820312,121.463727324625,55.69091421365738,65.45736122131348,80.00877404212952
63,3,15,125.06997680664062,121.463727324625,91.88370424509048,119.84067565202712,109.59374344348907
64,3,16,126.87068176269533,121.463727324625,145.70394003391266,144.385183095932,143.28208196163175
65,3,17,147.99374389648438,121.463727324625,119.44571089744568,155.8341875076294,116.774782538414
66,3,18,135.55052185058594,121.463727324625,132.76724421977997,145.20311331748962,133.5006855726242
67,3,19,138.2536163330078,121.463727324625,137.95830118656158,145.8422394990921,128.44280683994293
68,3,20,132.0015106201172,121.463727324625,132.2185536623001,146.4631006717682,120.59121024608612
69,3,21,124.89991760253906,121.463727324625,147.0510983467102,127.05633282661438,122.70098006725313
70,3,22,118.30123138427734,121.463727324625,116.91866821050644,113.34710264205933,108.72276031970978
71,3,23,104.34832763671876,121.463727324625,97.74679350852966,115.40460151433945,115.94851556420326
72,4,0,102.35769653320312,72.06773195127501,99.77272176742554,98.91376787424088,120.0084685087204
73,4,1,103.224365234375,72.06773195127501,98.43674087524414,106.92235100269318,121.60149139165878
74,4,2,103.63206481933594,72.06773195127501,94.83542621135712,97.09995085000992,104.29774260520936
75,4,3,96.6671142578125,72.06773195127501,104.24679493904114,98.64309811592102,108.58959567546844
76,4,4,99.63981628417967,72.06773195127501,104.49218487739564,87.07808208465576,94.824498295784
77,4,5,106.08767700195312,72.06773195127501,115.52768224477768,105.78581941127776,97.85660493373872
78,4,6,102.17394256591795,72.06773195127501,121.2494568824768,107.11839973926544,105.32429367303848
79,4,7,123.28773498535156,72.06773195127501,129.8009682893753,116.46450290083884,104.08036249876022
