primary_rank,primary_rank_score,architecture,grouping_method_short,grouping_feature_set_short,feature_group,seed,experiment,primary_load_cv_rmse_pct,primary_load_nmbe_pct,primary_abs_nmbe_pct,primary_comfort_degree_hours_per_building_day,primary_comfort_exceedance_pct,primary_comfort_degree_hours_total,primary_comfort_exceedance_hours_total,primary_comfort_exceedance_hours_mean,primary_comfort_exceedance_hours_max,test_reward_sum,wandb_run_id
1,14.25,TarMAC SOC regrouping,agglomerative,energy4f,policy-induced SOC regrouping,0.0,mappo_grouped_tarmac_energy4f_agglomerative_linear_vt_500_seed0,48.1513,-0.0402,0.0402,3.6372,15.0298,2546.0151,2525.0,101.0,379.0,-4228.2296,
2,18.0,TarMAC hybrid,balanced_spectral,capacity_load_3f,compact fixed grouping,0.0,mappo_grouped_tarmac_hybrid_balanced_spectral_capacity_load_3f_linear_vt_500_seed0,43.3988,-1.059,1.059,2.9501,14.3036,2065.0606,2403.0,96.12,480.0,-3869.0105,
3,25.3333,TarMAC hybrid,agglomerative,3f_I_no_capacity_comfort,3f feature ablation,0.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_I_no_capacity_comfort_vt_500_seed0,48.5971,0.9971,0.9971,2.9423,15.8631,2059.6069,2665.0,106.6,360.0,-4256.8807,
4,25.9167,TarMAC soft-router,soft_router,dynamic_full_expert_stable_heads_3f,dynamic soft-router,0.0,mappo_grouped_tarmac_soft_router_full_expert_stable_heads_3f_vt_seed0,45.2492,1.0608,1.0608,3.4289,16.4524,2400.1967,2764.0,110.56,551.0,-4399.1049,
5,28.4167,TarMAC hybrid,agglomerative,capacity_load_3f,compact fixed grouping,42.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_final,44.6221,-0.574,0.574,4.5174,20.0655,3162.1631,3371.0,134.84,493.0,-5202.0166,
6,29.0833,TarMAC hybrid,kmeans,capacity_load_5f,compact fixed grouping,1.0,mappo_grouped_tarmac_hybrid_kmeans_capacity_load_5f_linear_vt_500_seed1,49.0205,-1.3883,1.3883,2.1595,12.9286,1511.6316,2172.0,86.88,223.0,-3572.4226,
7,29.6667,TarMAC soft-router,soft_router,dynamic_full_expert_stable_heads_3f,dynamic soft-router,1.0,mappo_grouped_tarmac_soft_router_full_expert_stable_heads_3f_vt_seed1,45.3972,1.2862,1.2862,3.6346,16.619,2544.1982,2792.0,111.68,571.0,-17224.8806,
8,30.0,TarMAC hybrid,gmm,capacity_load_5f,compact fixed grouping,0.0,mappo_grouped_tarmac_hybrid_gmm_capacity_load_5f_linear_vt_500_seed0,44.4648,-1.1712,1.1712,4.4707,19.3214,3129.5075,3246.0,129.84,487.0,-5057.0632,
9,32.0833,TarMAC soft-router,soft_router,dynamic_twostage_3f_router_only,dynamic soft-router,1.0,mappo_grouped_tarmac_soft_router_twostage_3f_expert_routeronly500_temp05_prior1_vt_500_seed1,48.0599,0.3554,0.3554,5.2807,19.7798,3696.5054,3323.0,132.92,521.0,-5336.123,
11,32.5,TarMAC hybrid,agglomerative,3f_C_heatmax_nslmean,3f feature ablation,1.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_C_heatmax_nslmean_vt_500_seed1,46.9478,-2.1356,2.1356,5.0874,15.7679,3561.161,2649.0,105.96,415.0,-4547.2771,
