primary_rank,primary_rank_score,experiment,method,algorithm_family,n_episodes,seed,test_month,primary_load_cv_rmse_pct,primary_load_nmbe_pct,primary_abs_nmbe_pct,primary_comfort_exceedance_pct,primary_comfort_exceedance_hours_total,test_reward_sum,test_step_reward_mean,kpi_electricity_consumption,kpi_ramping,kpi_daily_peak,kpi_all_time_peak,kpi_load_factor,secondary_site_energy_change_pct,secondary_site_total_energy_kwh,secondary_peak_demand_kw,secondary_peak_demand_change_pct,secondary_system_ramping_kw,secondary_peak_to_valley_ratio_pct,secondary_load_factor_pct,secondary_fairness_gini,secondary_fairness_entropy,secondary_fairness_max_share_pct,train_load_cv_rmse_pct,train_load_nmbe_pct,train_comfort_exceedance_pct,train_reward_sum,wandb_run_id,wandb_started_at,wandb_runtime_seconds,wandb_program,result_dir,wandb_run_dir,climate,train_month,test_month_name,test_start_step,test_end_step,test_reward_mean,primary_load_reference_mean,primary_load_actual_mean,primary_load_reference_peak,primary_load_actual_peak,primary_comfort_exceedance_hours_mean,primary_comfort_exceedance_hours_max,kpi_carbon_emissions,kpi_cost,secondary_site_total_energy_baseline_kwh,secondary_peak_demand_baseline_kw,secondary_peak_demand_time,secondary_peak_demand_baseline_time,secondary_peak_to_valley_ratio_baseline_pct,secondary_load_factor_baseline_pct,secondary_system_ramping_baseline_kw,wandb_test_reward_sum,wandb_test_cv_rmse_pct,wandb_test_comfort_exceedance_pct,wandb_train_reward_sum,wandb_train_cv_rmse_pct,wandb_train_comfort_exceedance_pct,wandb_name,rank_primary_load_cv_rmse_pct,rank_primary_abs_nmbe_pct,rank_primary_comfort_exceedance_pct
1,1.5,mappo_grouped_comm_v2_vt_500_final,MAPPO grouped comm v2,MAPPO,500,42,2,49.936,-17.7413,17.7413,47.506,7981.0,-22907.8639,-34.1399,1.1021,1.1592,1.0407,1.0585,0.9526,10.2055,55408.6041,251.9672,-2.1036,438.8111,701.3766,57.5672,0.1796,0.9844,6.9108,35.725056974284286,-14.75548333432557,55.833333333333336,-16881.413467407227,hmdcbj2c,2026-04-21T04:22:48.051394Z,26778.0,-m mappo_grouped_comm_v2.train,results/mappo_grouped_comm_v2_vt_500_final,wandb/run-20260421_142248-hmdcbj2c,VT,1,February,744,1415,-916.3146,100.2365,82.4533,170.935,251.9672,319.24,671.0,,,67358.9241,257.3815,D03 06:00,D03 09:00,213.7573,72.107,202.9093,-22907.8639,49.936,47.506,-16881.4135,35.7251,55.8333,mappo_grouped_comm_v2_vt_500_final,1.0,2.0,2.0
2,3.75,mappo_grouped_tarmac_vt_500_final,MAPPO grouped tarmac,MAPPO,500,42,2,50.925,-18.5564,18.5564,48.8869,8213.0,-24165.2505,-36.0138,1.0983,1.2062,1.0436,1.0332,0.9733,9.8317,54928.1139,242.9572,-4.4682,457.213,4117.5192,56.5748,0.1564,0.988,6.935,37.58354091006109,-14.714434050387029,54.48387096774193,-24960.64280986786,g6o68ph0,2026-04-21T21:18:45.699930Z,22970.0,-m mappo_grouped_tarmac.train,results/mappo_grouped_tarmac_vt_500_final,wandb/run-20260422_071845-g6o68ph0,VT,1,February,744,1415,-966.61,100.3618,81.7383,169.7092,242.9572,328.52,672.0,,,67443.1444,254.3208,D03 06:00,D03 09:00,214.1579,72.1774,201.9695,-24165.2505,50.925,48.8869,-24960.6428,37.5835,54.4839,mappo_grouped_tarmac_vt_500_final,2.0,4.0,7.0
3,4.5,sb3_independent_sac_vt_50_final,SB3 independent SAC,Independent SAC,50,42,2,51.8727,-18.7886,18.7886,48.4762,8144.0,-15769.3593,-23.5013,1.0618,0.9905,1.0102,0.9711,0.9322,6.1763,54865.0038,227.193,-10.9652,375.8008,4838.4066,58.6162,0.1794,0.9841,6.8763,38.52689623590656,-15.108978630403211,57.13978494623656,,kru9ntwg,2026-04-23T04:33:19.608286Z,14789.0,-m sb3_independent_sac.train,results/sb3_independent_sac_vt_50_final,wandb/run-20260423_123319-kru9ntwg,VT,1,February,744,1415,-630.7744,100.5331,81.6444,168.6942,227.193,325.76,672.0,,,67558.2211,255.1733,D03 08:00,D03 09:00,213.5126,72.2941,200.5224,-15769.3593,51.8727,48.4762,-12524.5417,38.5269,57.1398,sb3_independent_sac_vt_50_final,4.0,5.0,5.0
4,6.0,mappo_grouped_comm_weighted_a090_b010_vt_500_final,MAPPO grouped comm weighted a090 b010,MAPPO,500,42,2,52.2456,-18.9314,18.9314,50.3036,8451.0,-26034.509,-38.7996,1.0832,1.1398,1.0511,1.046,0.9899,8.3178,54391.3361,245.469,-5.1421,430.1385,705.3816,55.8225,0.1784,0.9847,6.3584,38.22064982550843,-15.633216755094148,58.45698924731183,-33606.05073928833,d2ufgjyr,2026-04-22T14:31:41.199612Z,26250.0,-m mappo_grouped_comm_weighted.train,results/mappo_grouped_comm_weighted_a090_b010_vt_500_final,wandb/run-20260422_223141-d2ufgjyr,VT,1,February,744,1415,-1041.3804,99.8407,80.9395,168.3649,245.469,338.04,672.0,,,67092.9727,258.7755,D03 08:00,D03 09:00,214.4248,72.1785,202.1119,-26034.509,52.2456,50.3036,-33606.0507,38.2206,58.457,mappo_grouped_comm_weighted_a090_b010_vt_500_final,5.0,6.0,8.0
5,6.0,mappo_grouped_gat_vt_500_final,MAPPO grouped GAT,MAPPO,500,42,2,56.1046,-16.6212,16.6212,46.9167,7882.0,-21774.5339,-32.4509,1.1382,1.3597,1.099,1.072,1.0137,13.8176,56381.0883,253.7152,-2.7197,515.1382,1367.063,54.8043,0.1276,0.991,6.6795,40.5557027439494,-13.137339825686997,53.72043010752689,-19206.452357292175,63msj7dg,2026-04-22T14:31:41.277248Z,26008.0,-m mappo_grouped_gat.train,results/mappo_grouped_gat_vt_500_final,wandb/run-20260422_223141-63msj7dg,VT,1,February,744,1415,-870.9814,100.6257,83.9004,169.655,253.7152,315.28,672.0,,,67620.4371,260.8085,D02 20:00,D03 09:00,214.3891,71.9627,202.9743,-21774.5339,56.1046,46.9167,-19206.4524,40.5557,53.7204,mappo_grouped_gat_vt_500_final,11.0,1.0,1.0
6,6.75,mappo_grouped_comm_weighted_default_vt_500_final,MAPPO grouped comm weighted default,MAPPO,500,42,2,55.0538,-18.0635,18.0635,48.494,8147.0,-38047.511,-56.7027,1.1097,1.1959,1.1061,1.0135,1.0335,10.9651,55202.972,237.8305,-7.7428,460.6572,2418.9518,53.6229,0.1906,0.9821,6.8049,41.42824461441018,-16.06515460353938,58.65053763440861,-38639.336908340454,49wv21gn,2026-04-22T14:31:41.825582Z,26101.0,-m mappo_grouped_comm_weighted.train,results/mappo_grouped_comm_weighted_default_vt_500_final,wandb/run-20260422_223141-49wv21gn,VT,1,February,744,1415,-1521.9004,100.2572,82.1473,167.2897,237.8305,325.88,669.0,,,67372.8691,257.7907,D02 20:00,D03 09:00,217.8852,71.8089,206.2144,-38047.511,55.0538,48.494,-38639.3369,41.4282,58.6505,mappo_grouped_comm_weighted_default_vt_500_final,9.0,3.0,6.0
7,7.5,mappo_grouped_powernet_vt_500_final,MAPPO grouped powernet,MAPPO,500,42,2,55.4132,-19.1565,19.1565,48.2143,8100.0,-27805.0,-41.4382,1.0989,1.2751,1.0605,1.0197,0.9992,9.8928,54345.8061,235.8846,-8.8996,484.7071,2126.5163,55.3263,0.1784,0.9847,6.6989,43.25681319359653,-17.793025248845655,59.79032258064516,-34375.515619277954,v9rnhpdr,2026-04-22T14:31:41.157032Z,26603.0,-m mappo_grouped_powernet.train,results/mappo_grouped_powernet_vt_500_final,wandb/run-20260422_223141-v9rnhpdr,VT,1,February,744,1415,-1112.2,100.0349,80.8717,168.4003,235.8846,324.0,670.0,,,67223.4785,258.9282,D03 08:00,D03 09:00,214.9592,71.9762,202.9297,-27805.0,55.4132,48.2143,-34375.5156,43.2568,59.7903,mappo_grouped_powernet_vt_500_final,10.0,7.0,3.0
8,8.0,rllib_independent_ppo_vt_42_final,RLlib independent PPO,Independent PPO,42,42,2,51.7825,-21.8354,21.8354,63.256,10627.0,-79395.8399,-118.3246,1.0367,1.0102,0.9903,0.9588,0.9812,3.6674,52481.1949,222.449,-11.4869,380.3387,1557.3874,56.5247,0.2841,0.9574,11.4578,,,,,8v55jxl2,2026-04-23T04:29:05.018778Z,17510.0,-m rllib_independent_ppo.train,results/rllib_independent_ppo_vt_42_final,wandb/run-20260423_122905-8v55jxl2,VT,1,February,744,1415,-3175.8336,99.9136,78.097,167.5736,222.449,425.08,672.0,,,67141.9241,251.3176,D02 20:00,D03 09:00,212.2553,72.4826,198.8471,-79395.8399,51.7825,63.256,-165627.6735,38.9321,68.5161,rllib_independent_ppo_vt_42_final,3.0,13.0,13.0
9,8.25,mappo_standard_vt_500_final,MAPPO standard,MAPPO,500,42,2,52.472,-19.9395,19.9395,52.4345,8809.0,-13104.3853,-19.5296,1.0645,1.0943,1.0522,1.0507,1.0007,6.4546,53559.1055,251.2679,-4.7434,418.5334,698.0796,55.2132,0.1809,0.9839,7.7409,38.133696512929085,-12.025644605717114,52.72043010752688,-14638.358142852783,2ownbj08,2026-04-20T15:44:45.365025Z,20709.0,-m mappo_standard.train,results/mappo_standard_vt_500_final,wandb/run-20260421_014445-2ownbj08,VT,1,February,744,1415,-524.1754,99.551,79.701,168.1933,251.2679,352.36,672.0,,,66898.2506,263.7801,D03 08:00,D03 09:00,215.4816,71.9739,203.6788,-13104.3853,52.472,52.4345,-14638.3581,38.1337,52.7204,mappo_standard_vt_500_final,6.0,10.0,11.0
10,8.75,mappo_grouped_comm_weighted_a055_b045_vt_500_final,MAPPO grouped comm weighted a055 b045,MAPPO,500,42,2,52.5812,-19.6803,19.6803,50.9583,8561.0,-42622.6204,-63.521,1.1023,1.1402,1.0156,1.0042,0.9495,10.2272,53753.6371,233.8202,-9.7877,439.39,565.6257,57.5672,0.1527,0.9881,7.635,41.16259574178792,-16.982339608411085,58.82795698924731,-49736.54111480713,47ney6ne,2026-04-22T14:31:41.329708Z,26829.0,-m mappo_grouped_comm_weighted.train,results/mappo_grouped_comm_weighted_a055_b045_vt_500_final,wandb/run-20260422_223141-47ney6ne,VT,1,February,744,1415,-1704.9048,99.5902,79.9905,166.9097,233.8202,342.44,661.0,,,66924.6341,259.1888,D03 08:00,D03 09:00,213.8392,72.0967,207.0577,-42622.6204,52.5812,50.9583,-49736.5411,41.1626,58.828,mappo_grouped_comm_weighted_a055_b045_vt_500_final,8.0,9.0,10.0
