primary_rank,experiment,seed,primary_rank_score,primary_load_cv_rmse_pct,primary_load_nmbe_pct,primary_abs_nmbe_pct,primary_comfort_exceedance_pct,primary_comfort_exceedance_hours_total,primary_comfort_exceedance_hours_mean,primary_comfort_exceedance_hours_max,test_reward_sum,wandb_run_id
1,mappo_grouped_tarmac_energy4f_agglomerative_linear_vt_500_seed0,0.0,9.0,48.1513,-0.0402,0.0402,15.0298,2525.0,101.0,379.0,-4228.2296,
2,mappo_grouped_tarmac_hybrid_agglomerative_3f_I_no_capacity_comfort_vt_500_seed0,0.0,18.3333,48.5971,0.9971,0.9971,15.8631,2665.0,106.6,360.0,-4256.8807,
3,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_final,42.0,18.9167,44.6221,-0.574,0.574,20.0655,3371.0,134.84,493.0,-5202.0166,
4,mappo_grouped_tarmac_soft_router_twostage_3f_expert_routeronly500_temp05_prior1_vt_500_seed1,1.0,20.9167,48.0599,0.3554,0.3554,19.7798,3323.0,132.92,521.0,-5336.123,
5,mappo_grouped_tarmac_soft_router_twostage_3f_expert_routeronly500_temp05_prior1_vt_500_final,42.0,21.0,45.9919,-1.221,1.221,19.1726,3221.0,128.84,499.0,-4959.2942,
6,mappo_grouped_tarmac_hybrid_agglomerative_3f_C_heatmax_nslmean_vt_500_seed1,1.0,22.25,46.9478,-2.1356,2.1356,15.7679,2649.0,105.96,415.0,-4547.2771,
7,mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp05_prior1_no_capacity_vt_500_final,42.0,22.3333,46.9411,-0.5742,0.5742,19.5357,3282.0,131.28,584.0,-5271.7704,
8,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed0,0.0,23.75,46.9277,-0.4901,0.4901,23.125,3885.0,155.4,427.0,-6121.4928,
9,mappo_grouped_tarmac_soft_router_twostage_3f_expert_routeronly500_temp05_prior1_vt_500_seed3,3.0,24.1667,48.8184,-1.9154,1.9154,15.0595,2530.0,101.2,376.0,-4062.0475,
10,rllib_independent_ppo_vt_80_final2,42.0,25.1667,49.7644,1.2449,1.2449,13.744,2309.0,92.36,314.0,-3833.2359,ymjhdsaz
11,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed3,3.0,25.9167,48.9069,-2.0135,2.0135,15.1548,2546.0,101.84,384.0,-4093.4604,
12,mappo_grouped_powernet_global_vt_500_final2,42.0,26.25,46.4515,0.4341,0.4341,25.9464,4359.0,174.36,442.0,-6911.5274,29aaxpgi
13,mappo_grouped_tarmac_hybrid_agglomerative_3f_B_hvac_nslmean_vt_500_seed1,1.0,27.4167,50.1124,0.5122,0.5122,18.881,3172.0,126.88,435.0,-5270.716,
14,mappo_grouped_tarmac_hybrid_agglomerative_3f_C_heatmax_nslmean_vt_500_seed0,0.0,28.1667,47.2344,-2.3607,2.3607,17.2262,2894.0,115.76,474.0,-5073.6016,
15,mappo_grouped_tarmac_hybrid_agglomerative_3f_G_heatmean_comfort_vt_500_seed0,0.0,28.1667,47.9775,-2.1618,2.1618,17.3571,2916.0,116.64,477.0,-4674.1962,
16,mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp07_prior07_vt_500_final,42.0,29.0833,46.5446,1.0159,1.0159,22.0476,3704.0,148.16,605.0,-5910.1338,
17,mappo_grouped_powernet_global_agglomerative_capacity_load_5f_vt_500_final,42.0,29.5,50.7454,0.0322,0.0322,20.0595,3370.0,134.8,461.0,-5220.9771,
18,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed1,1.0,29.75,49.2488,0.3626,0.3626,21.006,3529.0,141.16,531.0,-5723.6764,
19,mappo_grouped_tarmac_hybrid_agglomerative_3f_D_heatmean_nslmax_vt_500_seed0,0.0,30.0,52.1622,0.2288,0.2288,17.7083,2975.0,119.0,471.0,-4771.82,
20,mappo_grouped_tarmac_soc6f_agglomerative_linear_vt_500_seed1,1.0,30.25,42.9605,0.0733,0.0733,33.9226,5699.0,227.96,620.0,-11320.0513,
21,mappo_grouped_comm_weighted_default_vt_500_final2,42.0,31.0,48.6819,-2.3106,2.3106,18.8452,3166.0,126.64,374.0,-4949.9085,i8t6aug2
22,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed2,2.0,31.8333,52.4464,0.4225,0.4225,17.5476,2948.0,117.92,415.0,-4733.7691,
23,mappo_grouped_tarmac_soft_router_three_stage_full_expert_3f_vt_seed42,42.0,32.3333,45.4541,2.2785,2.2785,20.4226,3431.0,137.24,572.0,-5641.4737,
24,mappo_grouped_tarmac_hybrid_vt_500_final2,42.0,32.8333,47.0088,-3.5124,3.5124,17.994,3023.0,120.92,410.0,-4715.4554,
25,mappo_grouped_tarmac_soft_router_twostage_3f_expert_routeronly500_temp05_prior1_vt_500_seed2,2.0,33.9167,51.7375,0.8915,0.8915,18.0417,3031.0,121.24,428.0,-4832.6466,
26,mappo_grouped_tarmac_hybrid_agglomerative_3f_E_hvac_nslmax_vt_500_seed1,1.0,34.1667,50.6606,-0.39,0.39,19.8929,3342.0,133.68,547.0,-5278.3943,
27,mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp05_prior1_vt_500_final,42.0,35.3333,48.2616,1.3501,1.3501,21.756,3655.0,146.2,580.0,-5805.3503,
28,mappo_grouped_comm_weighted_a090_b010_vt_500_final2,42.0,35.75,49.7543,-1.9492,1.9492,19.6905,3308.0,132.32,425.0,-5248.8381,p583uys0
29,mappo_grouped_tarmac_hybrid_gmm_static_operational_vt_500_final,42.0,36.1667,49.1514,0.7687,0.7687,22.4286,3768.0,150.72,547.0,-5927.6258,
30,mappo_grouped_tarmac_hybrid_agglomerative_3f_F_heatmax_nslmax_vt_500_seed0,0.0,36.25,51.7911,-1.2821,1.2821,17.8036,2991.0,119.64,361.0,-4873.4331,
31,mappo_grouped_tarmac_hybrid_agglomerative_3f_I_no_capacity_comfort_vt_500_seed2,2.0,36.3333,51.3837,2.2586,2.2586,14.6845,2467.0,98.68,359.0,-4101.7065,
32,mappo_grouped_tarmac_hybrid_agglomerative_3f_G_heatmean_comfort_vt_500_seed2,2.0,36.8333,51.3231,1.1728,1.1728,18.1726,3053.0,122.12,490.0,-4906.8918,
33,mappo_grouped_tarmac_hybrid_agglomerative_3f_B_hvac_nslmean_vt_500_seed2,2.0,36.9167,49.8833,-0.356,0.356,22.3333,3752.0,150.08,618.0,-5985.6731,
34,mappo_grouped_comm_weighted_a055_b045_vt_500_final2,42.0,37.4167,49.2801,0.2662,0.2662,32.0,5376.0,215.04,449.0,-8297.9159,dlrrabfh
35,mappo_grouped_tarmac_hybrid_agglomerative_3f_D_heatmean_nslmax_vt_500_seed1,1.0,37.5833,51.2227,-0.2956,0.2956,22.5893,3795.0,151.8,495.0,-5959.6467,
36,mappo_grouped_tarmac_hybrid_agglomerative_3f_H_heatmean_tempstd_vt_500_seed1,1.0,39.0833,54.9712,0.9797,0.9797,16.9702,2851.0,114.04,325.0,-4648.4573,
37,mappo_grouped_tarmac_hybrid_agglomerative_3f_G_heatmean_comfort_vt_500_seed1,1.0,40.4167,49.116,-1.2237,1.2237,22.9286,3852.0,154.08,565.0,-6258.4555,
38,mappo_grouped_tarmac_hybrid_kmeans_capacity_load_5f_linear_vt_500_final,42.0,41.4167,51.5607,-2.5278,2.5278,17.3333,2912.0,116.48,320.0,-4714.7458,
39,mappo_grouped_tarmac_hybrid_agglomerative_3f_I_no_capacity_comfort_vt_500_seed1,1.0,41.5833,46.8013,3.0013,3.0013,23.625,3969.0,158.76,473.0,-6052.1475,
40,mappo_grouped_tarmac_hybrid_agglomerative_3f_F_heatmax_nslmax_vt_500_seed1,1.0,41.9167,46.7714,3.3466,3.3466,22.9762,3860.0,154.4,475.0,-6308.8593,
41,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_final,42.0,42.4167,49.2795,2.3189,2.3189,22.381,3760.0,150.4,395.0,-5894.957,
42,mappo_grouped_tarmac_soc6f_agglomerative_linear_vt_500_seed0,0.0,43.6667,50.4409,1.0933,1.0933,23.2262,3902.0,156.08,484.0,-6548.8652,
43,mappo_grouped_tarmac_hybrid_agglomerative_3f_E_hvac_nslmax_vt_500_seed2,2.0,43.6667,55.5435,-1.7769,1.7769,17.119,2876.0,115.04,285.0,-4507.2639,
44,mappo_grouped_powernet_global_kmeans_capacity_load_5f_vt_500_final,42.0,43.75,49.6914,-3.7919,3.7919,19.5833,3290.0,131.6,305.0,-5119.5337,
45,mappo_grouped_tarmac_energy4f_agglomerative_linear_vt_500_seed42,42.0,44.25,48.815,-3.0835,3.0835,19.994,3359.0,134.36,560.0,-5273.6658,
