recommended_rank,experiment,recommended_rank_score,primary_rank,primary_rank_score,primary_load_cv_rmse_pct,primary_load_nmbe_pct,primary_comfort_exceedance_pct,secondary_site_energy_change_pct,secondary_peak_demand_change_pct,secondary_system_ramping_kw,test_reward_sum,wandb_run_id
1,mappo_grouped_tarmac_hybrid_balanced_spectral_capacity_load_3f_linear_vt_500_seed0,18.75,2,17.0,43.3988,-1.059,14.3036,27.534,-7.7087,435.709,-3869.0105,
2,mappo_grouped_tarmac_energy4f_agglomerative_linear_vt_500_seed0,26.7625,1,12.75,48.1513,-0.0402,15.0298,29.1085,4.5275,465.1603,-4228.2296,
3,mappo_grouped_tarmac_hybrid_agglomerative_3f_I_no_capacity_comfort_vt_500_seed0,28.1875,3,23.5833,48.5971,0.9971,15.8631,30.5843,-6.0627,455.8599,-4256.8807,
4,rllib_independent_ppo_vt_80_final2,29.2125,9,30.0833,49.7644,1.2449,13.744,26.8114,-2.6884,372.0552,-3833.2359,ymjhdsaz
5,mappo_grouped_tarmac_soft_router_twostage_3f_expert_routeronly500_temp05_prior1_vt_500_seed3,31.3375,11,30.5833,48.8184,-1.9154,15.0595,29.0364,-5.6602,461.2106,-4062.0475,
6,mappo_grouped_tarmac_hybrid_agglomerative_3f_C_heatmax_nslmean_vt_500_seed0,33.6,19,37.6667,47.2344,-2.3607,17.2262,26.0771,-3.9181,442.9909,-5073.6016,
7,mappo_grouped_tarmac_hybrid_agglomerative_3f_C_heatmax_nslmean_vt_500_seed1,34.3,8,29.3333,46.9478,-2.1356,15.7679,28.0881,0.01,484.6967,-4547.2771,
8,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed3,34.9875,14,32.9167,48.9069,-2.0135,15.1548,28.9492,-2.129,456.0079,-4093.4604,
9,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_5f_linear_vt_500_seed0,36.1,13,31.6667,46.9277,-0.4901,23.125,29.3436,-2.3164,492.5217,-6121.4928,
10,mappo_grouped_tarmac_hybrid_agglomerative_3f_G_heatmean_comfort_vt_500_seed0,36.9,18,37.3333,47.9775,-2.1618,17.3571,26.8964,-0.2264,450.5375,-4674.1962,
11,mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp05_prior1_no_capacity_vt_500_final,37.5375,12,30.9167,46.9411,-0.5742,19.5357,30.2835,-2.4769,506.9418,-5271.7704,
12,mappo_grouped_powernet_global_vt_500_final2,37.65,16,34.6667,46.4515,0.4341,25.9464,30.211,-4.1891,478.2245,-6911.5274,29aaxpgi
