fairness_rank,experiment,fairness_rank_score,objective,site_energy_rank,site_energy_rank_score,peak_demand_rank,peak_demand_rank_score,peak_to_valley_ratio_rank,peak_to_valley_ratio_rank_score,load_factor_rank,load_factor_rank_score,system_ramping_rank,system_ramping_rank_score
1.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_B_hvac_nslmean_vt_500_seed2,3.3333,fairness,,,,,,,,,,
2.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_C_heatmax_nslmean_vt_500_seed1,3.6667,fairness,,,,,,,,,,
3.0,mappo_grouped_tarmac_hybrid_vt_500_final2,3.6667,fairness,,,,,,,,,,
4.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_B_hvac_nslmean_vt_500_seed0,5.3333,fairness,,,,,,,,,,
5.0,mappo_grouped_vt_500_final3,5.3333,fairness,,,,,,,,,,
6.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_C_heatmax_nslmean_vt_500_seed0,9.3333,fairness,,,,,,,,,,
7.0,mappo_grouped_tarmac_soft_router_full_expert_stable_heads_3f_vt_seed42,10.6667,fairness,,,,,,,,,,
8.0,mappo_grouped_tarmac_soft_router_twostage_3f_expert_routeronly500_temp05_prior1_vt_500_final,15.3333,fairness,,,,,,,,,,
9.0,mappo_grouped_tarmac_hybrid_kmeans_static_extended_vt_500_final,16.3333,fairness,,,,,,,,,,
10.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_E_hvac_nslmax_vt_500_seed0,17.3333,fairness,,,,,,,,,,
11.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed2,19.3333,fairness,,,,,,,,,,
12.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_seed1,19.6667,fairness,,,,,,,,,,
13.0,mappo_grouped_tarmac_vt_500_final2,21.6667,fairness,,,,,,,,,,
14.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_E_hvac_nslmax_vt_500_seed1,22.6667,fairness,,,,,,,,,,
15.0,mappo_grouped_tarmac_hybrid_agglomerative_3f_D_heatmean_nslmax_vt_500_seed0,23.0,fairness,,,,,,,,,,
16.0,mappo_grouped_tarmac_soft_router_twostage_3f_expert_routeronly500_temp05_prior1_vt_500_seed1,23.0,fairness,,,,,,,,,,
17.0,mappo_grouped_tarmac_hybrid_balanced_spectral_capacity_load_5f_linear_vt_500_seed42,23.6667,fairness,,,,,,,,,,
18.0,mappo_grouped_tarmac_energy4f_agglomerative_linear_vt_500_seed1,24.6667,fairness,,,,,,,,,,
19.0,mappo_grouped_tarmac_soft_router_twostage_3f_expert_routeronly500_temp05_prior1_vt_500_seed2,25.6667,fairness,,,,,,,,,,
20.0,mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp05_prior1_no_capacity_vt_500_final,26.0,fairness,,,,,,,,,,
21.0,mappo_grouped_tarmac_hybrid_gmm_capacity_load_5f_linear_vt_500_final,26.3333,fairness,,,,,,,,,,
22.0,mappo_grouped_tarmac_soft_router_twostage_3f_expert_freeze200_temp07_prior07_vt_500_final,26.3333,fairness,,,,,,,,,,
23.0,mappo_grouped_tarmac_hybrid_agglomerative_static_operational_vt_500_final,27.0,fairness,,,,,,,,,,
24.0,mappo_grouped_tarmac_hybrid_agglomerative_capacity_load_3f_linear_vt_500_final,30.0,fairness,,,,,,,,,,
