cooling demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,net electricity consumption without storage and partial load,net electricity consumption without storage and partial load and pv,non shiftable load,solar generation
59.80661,14.867191,0.36677146,0.84474313,0.8943387,0.0,0.0,0.0,0.0,0.0,0.0,59.80661,0.0,0.0,0.0,0.0,1.3822337,0.0,11.311327,27.43963,27.43963,0.0,27.439629,27.439629,27.439629,27.439629,11.311327,0.0
52.893646,12.930713,0.0,1.5759379,1.6637836,0.0,0.0,0.0,0.0,0.0,0.0,52.893646,0.0,0.0,0.0,0.0,0.0,0.0,11.111692,25.706186,25.706186,0.0,25.706188,25.706188,25.706188,25.706188,11.111692,0.0
42.693184,10.596091,0.0,0.16785492,0.17626704,0.0,0.0,0.0,0.0,0.0,0.0,42.693184,0.0,0.0,0.0,0.0,0.0,0.0,11.026351,21.798708,21.798708,0.0,21.79871,21.79871,21.79871,21.79871,11.026351,0.0
42.419598,10.411916,0.0,4.5598035,4.907766,0.0,0.0,0.0,0.0,0.0,0.0,42.419598,0.0,0.0,0.0,0.0,0.0,0.0,11.222654,26.54234,26.54234,0.0,26.542337,26.542337,26.542337,26.542337,11.222654,0.0
36.45319,8.964228,0.0,0.8378271,0.8988234,0.0,0.0,0.0,0.0,0.0,0.0,36.45319,0.0,0.0,0.0,0.0,0.0,0.0,11.036251,20.899303,20.899303,0.0,20.899303,20.899303,20.899303,20.899303,11.036251,0.0
37.85808,8.981064,0.0,3.0093026,3.2167544,0.0,0.0,0.0,0.0,0.0,0.0,37.85808,0.0,0.0,0.0,0.0,0.0,0.0,12.68317,24.880987,24.880987,0.0,24.880987,24.880987,24.880987,24.880987,12.68317,0.0
44.832565,10.768665,0.17742021,10.77577,11.564973,0.0,0.0,0.0,0.0,0.0,0.0,44.832565,0.0,0.0,0.0,0.0,0.5840112,0.0,18.214497,33.63222,33.63222,0.0,33.632214,40.72556,33.632214,40.72556,18.214497,-7.0933404
39.14255,10.412501,0.18755053,3.7916768,4.0101757,0.0,0.0,0.0,0.0,0.0,0.0,39.14255,0.0,0.0,0.0,0.0,0.70119417,0.0,22.425676,23.385838,23.385838,0.0,23.385834,37.035908,23.385834,37.035908,22.425676,-13.650073
38.934105,10.949568,3.275108,6.9453263,7.393936,0.0,0.0,0.0,0.0,0.0,0.0,38.934105,0.0,0.0,0.0,0.0,13.404218,0.0,32.055233,13.021793,13.021793,0.0,13.021795,53.673843,13.021795,53.673843,32.055233,-40.65205
57.562805,18.095388,0.810266,4.687439,4.968377,0.0,0.0,0.0,0.0,0.0,0.0,57.562805,0.0,0.0,0.0,0.0,3.6462893,0.0,21.567236,-28.374428,0.0,-28.374428,-28.37443,45.44127,-28.37443,45.44127,21.567236,-73.8157
