Outdoor_Temperature,occupant_count,cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,indoor_temperature,outdoor_temperature,heating_sp,cooling_sp,comfort_band
25.4,3.0,2.1488645,0.0,0.5213954,0.0,0.20063685,0.22074008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1488645,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.41552287,1.1576583,1.1576583,0.0,1.1576583,1.1576583,0.41552287,-0.0,24.444445,25.4,24.444445,24.444445,2.0
25.3,3.0,1.9625331,0.0,0.4733759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9625331,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.41278836,0.88616425,0.88616425,0.0,0.88616425,0.88616425,0.41278836,-0.0,24.444445,25.3,24.444445,24.444445,2.0
25.6,3.0,1.7727078,0.0,0.4351993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7727078,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.44005716,0.8752564,0.8752564,0.0,0.8752564,0.8752564,0.44005716,-0.0,24.444445,25.6,24.444445,24.444445,2.0
25.6,3.0,1.6493607,0.0,0.4049176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6493607,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.4073193,0.8122369,0.8122369,0.0,0.8122369,0.8122369,0.4073193,-0.0,24.444445,25.6,24.444445,24.444445,2.0
25.6,3.0,1.5403848,0.0,0.37816405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5403848,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.4045848,0.7827488,0.7827488,0.0,0.7827488,0.7827488,0.4045848,-0.0,24.444445,25.6,24.444445,24.444445,2.0
25.0,3.0,1.4489223,0.0,0.34326923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4489223,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.4045848,0.747854,0.747854,0.0,0.747854,0.747854,0.4045848,-0.0,24.444445,25.0,24.444445,24.444445,2.0
25.6,3.0,1.4709392,0.0,0.36111516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4709392,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.41005382,0.5415974,0.5415974,0.0,0.5415974,0.77116895,0.41005382,-0.22957154,24.444445,25.6,24.444445,24.444445,2.0
26.7,3.0,1.460882,0.0,0.3816425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.460882,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.41552287,0.26264238,0.26264238,0.0,0.26264238,0.7971654,0.41552287,-0.534523,24.444445,26.7,24.444445,24.444445,2.0
27.8,3.0,2.358912,0.0,0.65337753,0.0,1.6330379,1.7966636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.358912,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.82007116,1.9460592,1.9460592,0.0,1.9460592,3.2701125,0.82007116,-1.3240533,24.775955,27.8,24.777779,24.777779,2.0
29.4,3.0,0.600937,0.0,0.18020852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.600937,-0.0,0.0,-0.0,-0.0,0.0,0.0,1.4139528,-0.8658339,0.0,-0.8658339,-0.8658339,1.5941614,1.4139528,-2.4599953,26.106836,29.4,26.11111,26.11111,2.0
32.2,3.0,0.4931768,0.0,0.16765465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4931768,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.50976163,-2.9723914,0.0,-2.9723914,-2.9723914,0.6774163,0.50976163,-3.6498077,26.832449,32.2,26.833334,26.833334,2.0
33.9,3.0,0.6240348,0.0,0.22732094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6240348,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.8111811,-4.323104,0.0,-4.323104,-4.323104,1.0385022,0.8111811,-5.361606,27.22201,33.9,27.222221,27.222221,2.0
