cooling demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,net electricity consumption without storage and partial load,net electricity consumption without storage and partial load and pv,non shiftable load,solar generation
0.0,0.0,210.39085,3.0121455,3.1146688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.17879,0.0,9.160673,222.6662,222.6662,0.0,222.66621,222.66621,222.66621,222.66621,9.160673,0.0
0.0,0.0,222.62967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.28378,0.0,9.141751,231.77145,231.77145,0.0,231.77142,231.77142,231.77142,231.77142,9.141751,0.0
0.0,0.0,225.88364,1.3734753,1.470049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.18515,0.0,9.013853,236.36754,236.36754,0.0,236.36754,236.36754,236.36754,236.36754,9.013853,0.0
0.0,0.0,234.18338,3.2853067,3.603063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.10327,0.0,9.255972,247.04242,247.04242,0.0,247.04243,247.04243,247.04243,247.04243,9.255972,0.0
0.0,0.0,233.38304,1.8453704,1.9476483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.61652,0.0,9.281676,244.61234,244.61234,0.0,244.61237,244.61237,244.61237,244.61237,9.281676,0.0
0.0,0.0,245.67316,6.4872465,6.88922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.22217,0.0,10.113074,262.6754,262.6754,0.0,262.67545,262.67545,262.67545,262.67545,10.113074,0.0
0.0,0.0,260.85117,17.929745,19.306587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.5194,0.0,11.894527,292.05225,292.05225,0.0,292.05225,292.05225,292.05225,292.05225,11.894527,0.0
0.0,0.0,255.12949,20.540127,21.744354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.25537,0.0,15.450031,292.32382,292.32382,0.0,292.32388,292.32388,292.32388,292.32388,15.450031,0.0
0.0,0.0,241.84447,17.964642,19.149977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.7086,0.0,29.173656,280.86578,280.86578,0.0,280.86575,290.1681,280.86575,290.1681,29.173656,-9.302363
0.0,0.0,208.95837,10.836235,11.807516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.37083,0.0,38.295673,224.25168,224.25168,0.0,224.2517,259.06155,224.2517,259.06155,38.295673,-34.809868
0.0,0.0,183.94786,5.5407443,5.976074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.35092,0.0,16.555462,150.25099,150.25099,0.0,150.25099,206.4794,150.25099,206.4794,16.555462,-56.228413
0.0,0.0,158.70161,7.0677814,7.55327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.43776,0.0,17.005766,117.823456,117.823456,0.0,117.82346,183.26067,117.82346,183.26067,17.005766,-65.437195
0.0,0.0,148.34604,12.923346,13.671335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.37007,0.0,19.683622,110.9444,110.9444,0.0,110.944405,181.701,110.944405,181.701,19.683622,-70.75659
0.0,0.0,143.63379,17.680454,18.92657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.58649,0.0,22.484118,123.90008,123.90008,0.0,123.90006,185.04448,123.90006,185.04448,22.484118,-61.14441
0.0,0.0,145.20486,9.631019,10.375433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.67592,0.0,18.476376,130.1199,130.1199,0.0,130.1199,174.05667,130.1199,174.05667,18.476376,-43.936764
0.0,0.0,0.3946426,4.299691,4.6347637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45850593,0.0,28.251825,7.1585183,7.1585183,0.0,7.158519,33.281227,103.37085,129.49356,28.251825,-26.122711
0.0,0.0,109.98367,7.7119975,8.24118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.53783,0.0,24.66564,140.33844,140.33844,0.0,140.33846,142.8905,170.346,172.89804,24.66564,-2.5520487
0.0,0.0,119.07775,14.304946,15.256171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.22586,0.0,26.039623,160.37355,160.37355,0.0,160.37355,160.37355,195.28435,195.28435,26.039623,0.0
0.0,0.0,141.30731,16.539165,17.527046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.26932,0.0,22.36913,181.20348,181.20348,0.0,181.20349,181.20349,209.66005,209.66005,22.36913,0.0
0.0,0.0,161.55437,12.138969,12.8456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.87236,0.0,25.57947,199.97942,199.97942,0.0,199.97945,199.97945,221.06941,221.06941,25.57947,0.0
0.0,0.0,167.51447,14.693641,15.64826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189.57623,0.0,24.049122,207.21182,207.21182,0.0,207.21184,207.21184,232.44124,232.44124,24.049122,0.0
