Outdoor_Temperature,occupant_count,cooling demand,heating demand,cooling electricity consumption,heating electricity consumption,dhw demand,dhw electricity consumption,dhw storage electricity consumption,positive dhw storage electricity consumption,negative dhw storage electricity consumption,dhw soc storage,dhw capacity,dhw stored energy (?),electrical storage electricity consumption,positive electrical storage electricity consumption,negative electrical storage electricity consumption,electrical storage soc,electrical capacity history,stored electrical energy,energy from cooling device,energy from dhw device,energy from dhw device to dhw storage,energy from dhw storage,energy from electrical storage,energy from heating device,energy to electrical storage,energy to non shiftable load,net electricity consumption,positive net electricity consumption,negative net electricity consumption,net electricity consumption without storage,net electricity consumption without storage and pv,non shiftable load,solar generation,indoor_temperature,outdoor_temperature,heating_sp,cooling_sp,comfort_band
-21.333334,2.0,0.0,9.25185,0.0,8.394618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.400000000000006,0.0,0.0,-0.0,0.0,-0.0,-0.0,9.25185,0.0,0.36533904,8.759957,8.759957,0.0,8.759957,8.759957,0.36533904,-0.0,18.02159,-21.333334,18.0,18.0,2.0
-21.225,2.0,0.0,9.557214,0.0,8.657884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.400001525878906,0.0,0.0,-0.0,0.0,-0.0,-0.0,9.557214,0.0,0.36351934,9.021403,9.021403,0.0,9.021403,9.021403,0.36351934,-0.0,18.00065,-21.225,18.0,18.0,2.0
-21.7,2.0,0.0,10.260252,0.0,9.359742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.400001525878906,0.0,0.0,-0.0,0.0,-0.0,-0.0,10.260252,0.0,0.3618706,9.721613,9.721613,0.0,9.721613,9.721613,0.3618706,-0.0,18.000021,-21.7,18.0,18.0,2.0
-22.8,2.0,0.0,10.745614,0.0,9.960091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.400001525878906,0.0,0.0,-0.0,0.0,-0.0,-0.0,10.745614,0.0,0.36016485,10.320255,10.320255,0.0,10.320255,10.320255,0.36016485,-0.0,18.0,-22.8,18.0,18.0,2.0
-22.45,2.0,0.0,10.717414,0.0,9.883944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.400001525878906,0.0,0.0,-0.0,0.0,-0.0,-0.0,10.717414,0.0,0.35834512,10.242289,10.242289,0.0,10.242289,10.242289,0.35834512,-0.0,18.0,-22.45,18.0,18.0,2.0
-23.9,2.0,0.0,11.324058,0.0,10.662318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.400001525878906,0.0,0.0,-0.0,0.0,-0.0,-0.0,11.324058,0.0,0.35851607,11.020834,11.020834,0.0,11.020834,11.020834,0.35851607,-0.0,18.0,-23.9,18.0,18.0,2.0
-25.0,2.0,0.0,11.766734,0.0,11.251687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.400001525878906,0.0,0.0,-0.0,0.0,-0.0,-0.0,11.766734,0.0,0.5045602,11.7562475,11.7562475,0.0,11.7562475,11.7562475,0.5045602,-0.0,18.0,-25.0,18.0,18.0,2.0
-25.0,1.0,0.0,11.887075,0.0,11.366761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.400001525878906,0.0,0.0,-0.0,0.0,-0.0,-0.0,11.887075,0.0,0.36573797,11.732499,11.732499,0.0,11.732499,11.732499,0.36573797,-0.0,18.0,-25.0,18.0,18.0,2.0
-23.9,1.0,0.0,11.132639,0.0,10.482086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.400001525878906,0.0,0.0,-0.0,0.0,-0.0,-0.0,11.132639,0.0,0.36664587,10.626222,10.626222,0.0,10.626222,10.848732,0.36664587,-0.22251002,18.0,-23.9,18.0,18.0,2.0
-21.1,1.0,0.0,9.218994,0.0,8.336127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.400001525878906,0.0,0.0,-0.0,0.0,-0.0,-0.0,9.218994,0.0,0.57183766,7.587496,7.587496,0.0,7.587496,8.907965,0.57183766,-1.320469,18.0,-21.1,18.0,18.0,2.0
