building_idx,cluster,bes_capacity_kwh,hvac_total_kw
0,1,37.800000000000004,19.5916590988636
1,1,21.0,26.372357715619728
2,0,16.0,6.387376986443996
3,1,32.400000000000006,19.589835427701473
4,1,40.0,28.706289291381836
5,0,16.5,7.446613773703575
6,0,16.200000000000003,8.326334744691849
7,1,38.5,26.772001266479492
8,0,13.5,7.692023277282715
9,0,14.4,7.940551832318306
10,1,32.400000000000006,20.293481826782227
11,3,25.0,7.688749624416232
12,2,16.200000000000003,12.765929035842419
13,2,13.5,12.05913708359003
14,2,21.0,16.3624897133559
15,2,14.4,16.462326049804688
16,2,16.0,16.184263229370117
17,3,22.169999999999998,12.63716285303235
18,1,35.0,18.77275848388672
19,3,31.5,9.785736599937081
20,0,14.4,9.568697929382324
21,2,15.0,12.051277544349432
22,0,10.5,6.665462017059326
23,0,16.0,8.300153299234807
24,3,24.0,11.169410891830921
