building_idx,cluster,bes_capacity_kwh,hvac_total_kw,heating_mean,nsl_mean,comfort_lower_excess_mean
0,2,37.800000000000004,19.5916590988636,6.608829442741935,0.6605379761290322,0.004021959677419255
1,2,21.0,26.372357715619728,9.90175472486559,0.5613235767473119,0.0019305026881720384
2,1,16.0,6.387376986443996,2.7656822411693547,0.4707286603091398,0.002012235215053834
3,2,32.400000000000006,19.589835427701473,6.0260748854301065,0.9850309695564516,0.0032611962365588294
4,2,40.0,28.706289291381836,14.599544755241935,0.6808401423655913,0.00013919086021504367
5,1,16.5,7.446613773703575,2.5458661640107523,0.5417442419623656,0.002477616935483806
6,1,16.200000000000003,8.326334744691849,3.462727376182796,0.3809427526478495,0.002395750000000013
7,3,38.5,26.772001266479492,14.20368620846774,0.9313203445161289,0.009787497311827945
8,1,13.5,7.692023277282715,4.009697529475806,0.7150863653091397,0.004241345430107578
9,1,14.4,7.940551832318306,3.5289944027956994,0.5329649091801075,0.0007229260752688636
10,2,32.400000000000006,20.293481826782227,8.487937245645162,0.8264309466532257,0.00018039381720430454
11,0,25.0,7.688749624416232,4.382172941236559,0.8709899392204301,0.0005338669354838641
12,0,16.200000000000003,12.765929035842419,3.995811995201613,0.9180122362634409,0.001545372311828135
13,1,13.5,12.05913708359003,5.01493613001344,0.41097248662634406,0.0027853077956986982
14,0,21.0,16.3624897133559,8.492016696962366,1.0030584773521507,0.00014340322580644059
15,1,14.4,16.462326049804688,7.6218738190457,0.5142959921908602,0.0018473172043010873
16,0,16.0,16.184263229370117,8.973333345698924,1.009137068454301,0.0005038723118279597
17,0,22.169999999999998,12.63716285303235,4.157492948736559,1.4188918972580644,0.0002193010752688142
18,2,35.0,18.77275848388672,9.220152837634409,1.0250459496370967,0.003977475806451593
19,4,31.5,9.785736599937081,4.937917682284946,0.732401427513441,0.004456555107526811
20,1,14.4,9.568697929382324,5.04269947922043,0.523962636438172,0.002408934139784941
21,0,15.0,12.051277544349432,4.409110876182796,1.0848718270833333,0.004341258064516095
22,1,10.5,6.665462017059326,4.07869838094086,0.5438324113575269,0.0018187553763441481
23,1,16.0,8.300153299234807,3.420126489301075,0.5016867875,0.0004175685483870862
24,4,24.0,11.169410891830921,3.915068614301075,0.4956880852419354,0.00669078629032255
