building_idx,cluster,bes_capacity_kwh,heating_max,nsl_mean
0,0,37.800000000000004,21.101242,0.6605379761290322
1,2,21.0,23.073769,0.5613235767473119
2,4,16.0,7.747485,0.4707286603091398
3,0,32.400000000000006,19.467955,0.9850309695564516
4,0,40.0,28.72485,0.6808401423655913
5,4,16.5,7.813309,0.5417442419623656
6,4,16.200000000000003,8.727424,0.3809427526478495
7,0,38.5,31.245152,0.9313203445161289
8,4,13.5,11.027802,0.7150863653091397
9,4,14.4,7.898479,0.5329649091801075
10,0,32.400000000000006,19.10276,0.8264309466532257
11,3,25.0,8.944626,0.8709899392204301
12,1,16.200000000000003,12.36054,0.9180122362634409
13,2,13.5,13.540619,0.41097248662634406
14,1,21.0,20.020363,1.0030584773521507
15,2,14.4,18.367256,0.5142959921908602
16,1,16.0,20.039948,1.009137068454301
17,1,22.169999999999998,11.381976,1.4188918972580644
18,0,35.0,19.577307,1.0250459496370967
19,3,31.5,11.033802,0.732401427513441
20,2,14.4,11.737886,0.523962636438172
21,1,15.0,12.2261,1.0848718270833333
22,4,10.5,8.238319,0.5438324113575269
23,4,16.0,8.545133,0.5016867875
24,4,24.0,10.612421,0.4956880852419354
