building_idx,cluster,bes_capacity_kwh,heating_mean,nsl_max
0,3,37.800000000000004,6.608829442741935,7.0687323
1,4,21.0,9.90175472486559,5.1123614
2,2,16.0,2.7656822411693547,5.3755035
3,3,32.400000000000006,6.0260748854301065,5.3872685
4,1,40.0,14.599544755241935,1.5336721
5,0,16.5,2.5458661640107523,8.077901
6,2,16.200000000000003,3.462727376182796,0.8320575
7,1,38.5,14.20368620846774,10.717534
8,2,13.5,4.009697529475806,5.365362
9,0,14.4,3.5289944027956994,13.022794
10,3,32.400000000000006,8.487937245645162,4.9522777
11,2,25.0,4.382172941236559,4.970331
12,0,16.200000000000003,3.995811995201613,7.00464
13,2,13.5,5.01493613001344,3.8940673
14,4,21.0,8.492016696962366,9.729535
15,4,14.4,7.6218738190457,5.947416
16,4,16.0,8.973333345698924,5.714178
17,2,22.169999999999998,4.157492948736559,3.7263503
18,3,35.0,9.220152837634409,12.712824
19,3,31.5,4.937917682284946,10.164909
20,0,14.4,5.04269947922043,9.063698
21,0,15.0,4.409110876182796,10.355766
22,0,10.5,4.07869838094086,7.4630237
23,2,16.0,3.420126489301075,5.677352
24,0,24.0,3.915068614301075,14.505592
