building_idx,cluster,bes_capacity_kwh,hvac_total_kw,nsl_max
0,0,37.800000000000004,19.5916590988636,7.0687323
1,0,21.0,26.372357715619728,5.1123614
2,4,16.0,6.387376986443996,5.3755035
3,0,32.400000000000006,19.589835427701473,5.3872685
4,0,40.0,28.706289291381836,1.5336721
5,4,16.5,7.446613773703575,8.077901
6,1,16.200000000000003,8.326334744691849,0.8320575
7,3,38.5,26.772001266479492,10.717534
8,4,13.5,7.692023277282715,5.365362
9,2,14.4,7.940551832318306,13.022794
10,0,32.400000000000006,20.293481826782227,4.9522777
11,1,25.0,7.688749624416232,4.970331
12,1,16.200000000000003,12.765929035842419,7.00464
13,1,13.5,12.05913708359003,3.8940673
14,2,21.0,16.3624897133559,9.729535
15,1,14.4,16.462326049804688,5.947416
16,1,16.0,16.184263229370117,5.714178
17,1,22.169999999999998,12.63716285303235,3.7263503
18,3,35.0,18.77275848388672,12.712824
19,2,31.5,9.785736599937081,10.164909
20,4,14.4,9.568697929382324,9.063698
21,2,15.0,12.051277544349432,10.355766
22,4,10.5,6.665462017059326,7.4630237
23,4,16.0,8.300153299234807,5.677352
24,2,24.0,11.169410891830921,14.505592
