building_idx,cluster,bes_capacity_kwh,heating_max,nsl_max
0,1,37.800000000000004,21.101242,7.0687323
1,3,21.0,23.073769,5.1123614
2,2,16.0,7.747485,5.3755035
3,1,32.400000000000006,19.467955,5.3872685
4,1,40.0,28.72485,1.5336721
5,2,16.5,7.813309,8.077901
6,2,16.200000000000003,8.727424,0.8320575
7,1,38.5,31.245152,10.717534
8,2,13.5,11.027802,5.365362
9,0,14.4,7.898479,13.022794
10,1,32.400000000000006,19.10276,4.9522777
11,2,25.0,8.944626,4.970331
12,2,16.200000000000003,12.36054,7.00464
13,2,13.5,13.540619,3.8940673
14,3,21.0,20.020363,9.729535
15,3,14.4,18.367256,5.947416
16,3,16.0,20.039948,5.714178
17,2,22.169999999999998,11.381976,3.7263503
18,0,35.0,19.577307,12.712824
19,0,31.5,11.033802,10.164909
20,0,14.4,11.737886,9.063698
21,0,15.0,12.2261,10.355766
22,2,10.5,8.238319,7.4630237
23,2,16.0,8.545133,5.677352
24,0,24.0,10.612421,14.505592
