building_idx,cluster,bes_capacity_kwh,heating_mean,comfort_lower_excess_mean
0,0,37.800000000000004,6.608829442741935,0.004021959677419255
1,2,21.0,9.90175472486559,0.0019305026881720384
2,1,16.0,2.7656822411693547,0.002012235215053834
3,0,32.400000000000006,6.0260748854301065,0.0032611962365588294
4,0,40.0,14.599544755241935,0.00013919086021504367
5,1,16.5,2.5458661640107523,0.002477616935483806
6,1,16.200000000000003,3.462727376182796,0.002395750000000013
7,3,38.5,14.20368620846774,0.009787497311827945
8,1,13.5,4.009697529475806,0.004241345430107578
9,1,14.4,3.5289944027956994,0.0007229260752688636
10,2,32.400000000000006,8.487937245645162,0.00018039381720430454
11,2,25.0,4.382172941236559,0.0005338669354838641
12,1,16.200000000000003,3.995811995201613,0.001545372311828135
13,1,13.5,5.01493613001344,0.0027853077956986982
14,2,21.0,8.492016696962366,0.00014340322580644059
15,2,14.4,7.6218738190457,0.0018473172043010873
16,2,16.0,8.973333345698924,0.0005038723118279597
17,2,22.169999999999998,4.157492948736559,0.0002193010752688142
18,0,35.0,9.220152837634409,0.003977475806451593
19,0,31.5,4.937917682284946,0.004456555107526811
20,1,14.4,5.04269947922043,0.002408934139784941
21,1,15.0,4.409110876182796,0.004341258064516095
22,1,10.5,4.07869838094086,0.0018187553763441481
23,1,16.0,3.420126489301075,0.0004175685483870862
24,1,24.0,3.915068614301075,0.00669078629032255
