building_idx,cluster,bes_capacity_kwh,heating_mean,indoor_temp_std
0,0,37.800000000000004,6.608829442741935,1.5902606291318266
1,2,21.0,9.90175472486559,0.484409178124837
2,1,16.0,2.7656822411693547,0.49883234801671006
3,0,32.400000000000006,6.0260748854301065,1.1955936411523664
4,3,40.0,14.599544755241935,0.3297961162539158
5,1,16.5,2.5458661640107523,0.7788606247201574
6,1,16.200000000000003,3.462727376182796,0.5458455063449803
7,3,38.5,14.20368620846774,1.030989419767771
8,0,13.5,4.009697529475806,1.9226053124966271
9,1,14.4,3.5289944027956994,0.4360663401378831
10,2,32.400000000000006,8.487937245645162,0.23878133263039386
11,2,25.0,4.382172941236559,0.48866404539953595
12,1,16.200000000000003,3.995811995201613,0.8445207468574126
13,1,13.5,5.01493613001344,1.0514921886851742
14,2,21.0,8.492016696962366,0.20547032418934513
15,1,14.4,7.6218738190457,0.9197187109745376
16,2,16.0,8.973333345698924,0.5352981103820933
17,2,22.169999999999998,4.157492948736559,0.35865832893658206
18,2,35.0,9.220152837634409,0.8688389467228639
19,2,31.5,4.937917682284946,0.6560533507511738
20,0,14.4,5.04269947922043,1.3781698132455018
21,0,15.0,4.409110876182796,1.6138415878885772
22,1,10.5,4.07869838094086,0.7940092050885286
23,1,16.0,3.420126489301075,0.3252854838999051
24,0,24.0,3.915068614301075,1.499854610555119
