building_idx,cluster,bes_capacity_kwh,cooling_mean,nsl_mean
0,1,15.0,3.7196811779166667,0.7996132590456988
1,4,10.0,2.995850934954301,0.4057649472580645
2,4,12.0,2.6899085855241935,0.62622578797043
3,3,5.0,2.9359270309408605,0.41985880768817196
4,1,13.5,4.754607188723118,1.351476573239247
5,2,20.0,6.0127208254032265,1.9750522420698922
6,4,10.5,2.8526533436155916,0.6278331278629032
7,0,13.5,4.681949115336021,0.5173738539247312
8,3,3.3,2.6291097340591394,0.4911133528494624
9,0,10.5,4.286069703763441,0.8621642498118279
10,4,8.0,2.342898794811828,0.5586409379301075
11,4,10.8,2.979456639905914,0.8825784992741935
12,0,13.5,4.846051884892473,0.5834080967741936
13,4,12.0,2.220640317244624,0.6358573398655913
14,0,5.4,5.1445050358870965,1.1040220677150538
15,4,12.0,1.9586368244623655,0.7768109536290322
16,1,16.200000000000003,4.599784178494624,1.1093523817741935
17,4,13.5,2.345600837365591,0.4104264883870968
18,3,5.0,2.067000812346774,0.36873628830645155
19,0,10.0,4.039515160819892,0.22997999314516127
20,4,10.8,1.3699139329301075,0.5778282876881721
21,2,16.200000000000003,3.997319771780914,2.0322308947177423
22,1,16.0,2.6953626223655918,0.8145853045430108
23,1,16.200000000000003,4.837272939206989,1.0207731384408603
24,3,5.0,2.172601829543011,0.398938140389785
