building_idx,cluster,bes_capacity_kwh,heating_mean,nsl_mean
0,0,37.800000000000004,6.608829442741935,0.6605379761290322
1,1,21.0,9.90175472486559,0.5613235767473119
2,2,16.0,2.7656822411693547,0.4707286603091398
3,0,32.400000000000006,6.0260748854301065,0.9850309695564516
4,3,40.0,14.599544755241935,0.6808401423655913
5,3,16.5,2.5458661640107523,0.5417442419623656
6,2,16.200000000000003,3.462727376182796,0.3809427526478495
7,3,38.5,14.20368620846774,0.9313203445161289
8,4,13.5,4.009697529475806,0.7150863653091397
9,2,14.4,3.5289944027956994,0.5329649091801075
10,3,32.400000000000006,8.487937245645162,0.8264309466532257
11,0,25.0,4.382172941236559,0.8709899392204301
12,4,16.200000000000003,3.995811995201613,0.9180122362634409
13,2,13.5,5.01493613001344,0.41097248662634406
14,1,21.0,8.492016696962366,1.0030584773521507
15,1,14.4,7.6218738190457,0.5142959921908602
16,1,16.0,8.973333345698924,1.009137068454301
17,4,22.169999999999998,4.157492948736559,1.4188918972580644
18,3,35.0,9.220152837634409,1.0250459496370967
19,0,31.5,4.937917682284946,0.732401427513441
20,1,14.4,5.04269947922043,0.523962636438172
21,4,15.0,4.409110876182796,1.0848718270833333
22,4,10.5,4.07869838094086,0.5438324113575269
23,2,16.0,3.420126489301075,0.5016867875
24,0,24.0,3.915068614301075,0.4956880852419354
