building_idx,cluster,bes_capacity_kwh,hvac_total_kw,pv_sizing_nominal_power_kw,pv_roof_area_m2,has_dhw_storage,has_cooling_storage,has_heating_storage
0,0,37.800000000000004,19.5916590988636,10.35,201.34958423912275,0.0,0.0,0.0
1,0,21.0,26.372357715619728,13.8,255.93260925576897,0.0,0.0,0.0
2,2,16.0,6.387376986443996,5.04,175.53819827914327,0.0,0.0,0.0
3,0,32.400000000000006,19.589835427701473,9.06,171.43538240220386,0.0,0.0,0.0
4,4,40.0,28.706289291381836,18.2,402.69916056799383,0.0,0.0,0.0
5,1,16.5,7.446613773703575,5.2,126.71988278139312,0.0,0.0,0.0
6,2,16.200000000000003,8.326334744691849,5.2,235.36660195297992,0.0,0.0,0.0
7,0,38.5,26.772001266479492,16.75,175.53819827914327,0.0,0.0,0.0
8,2,13.5,7.692023277282715,7.11,226.01841387894368,0.0,0.0,0.0
9,1,14.4,7.940551832318306,8.18,126.71988278139312,0.0,0.0,0.0
10,0,32.400000000000006,20.293481826782227,12.8,226.01841387894368,0.0,0.0,0.0
11,2,25.0,7.688749624416232,8.7,285.8468129046808,0.0,0.0,0.0
12,3,16.200000000000003,12.765929035842419,8.12,168.215450954481,0.0,0.0,0.0
13,2,13.5,12.05913708359003,6.12,235.3666019529799,0.0,0.0,0.0
14,3,21.0,16.3624897133559,12.68,226.01841387894368,0.0,0.0,0.0
15,3,14.4,16.462326049804688,10.08,168.21545095448104,0.0,0.0,0.0
16,3,16.0,16.184263229370117,11.52,171.43538240220386,0.0,0.0,0.0
17,3,22.169999999999998,12.63716285303235,11.2,127.96630785793164,0.0,0.0,0.0
18,0,35.0,18.77275848388672,12.78,285.8468129046808,0.0,0.0,0.0
19,1,31.5,9.785736599937081,8.16,91.92384939469892,0.0,0.0,0.0
20,1,14.4,9.568697929382324,7.7,116.83058590000027,0.0,0.0,0.0
21,3,15.0,12.051277544349432,12.43,126.71988278139312,0.0,0.0,0.0
22,2,10.5,6.665462017059326,6.4,205.45240500449012,0.0,0.0,0.0
23,1,16.0,8.300153299234807,6.12,126.71988278139312,0.0,0.0,0.0
24,1,24.0,11.169410891830921,7.26,126.71988278139312,0.0,0.0,0.0
