building_idx,building_name,n_soc_samples,soc_mean,soc_std,soc_q10,soc_low_fraction,soc_high_fraction,soc_daily_range_mean
0,resstock-amy2018-2021-release-1-112208,744,0.33194736395311614,0.24202238863930178,0.09460452571511269,0.2728494623655914,0.028225806451612902,0.5847948626164468
1,resstock-amy2018-2021-release-1-147002,744,0.8733874182917819,0.1792989668583684,0.6004479050636291,0.004032258064516129,0.6075268817204301,0.3931069489448301
2,resstock-amy2018-2021-release-1-179247,744,0.6421640236710304,0.37286526284319643,0.0,0.15456989247311828,0.44623655913978494,0.7292800497624182
3,resstock-amy2018-2021-release-1-199613,744,0.1930830554676152,0.14710289348586503,0.0921381838619709,0.5080645161290323,0.0013440860215053765,0.3798942674071558
4,resstock-amy2018-2021-release-1-20199,744,0.9581631878140553,0.12665355486241522,0.8749139606952667,0.002688172043010753,0.896505376344086,0.10912074869678866
5,resstock-amy2018-2021-release-1-216895,744,0.19391307488468135,0.1994573035792271,0.0,0.42876344086021506,0.009408602150537635,0.4234230807952343
6,resstock-amy2018-2021-release-1-223581,744,0.6301986588145135,0.32377621141189067,0.09980386570096016,0.10215053763440861,0.33064516129032256,0.783686151187266
7,resstock-amy2018-2021-release-1-245723,744,0.9309015113144352,0.2125904170252478,0.8912004411220551,0.024193548387096774,0.8924731182795699,0.055759607784209714
8,resstock-amy2018-2021-release-1-247942,744,0.23426530529952705,0.29805793735053865,0.0,0.4905913978494624,0.07123655913978495,0.6420102900555057
9,resstock-amy2018-2021-release-1-319918,744,0.44618110085494933,0.4189985330672158,0.0,0.3897849462365591,0.25806451612903225,0.9553246671153653
10,resstock-amy2018-2021-release-1-376570,744,0.3987045271762757,0.260571282432659,0.0972116768360138,0.20295698924731181,0.043010752688172046,0.6800309631132311
11,resstock-amy2018-2021-release-1-408344,744,0.2999147620672981,0.23477456736062677,0.1420845091342926,0.002688172043010753,0.053763440860215055,0.35135160819176703
12,resstock-amy2018-2021-release-1-409896,744,0.31608169546891607,0.30194420302184805,0.09713489636778831,0.44086021505376344,0.11155913978494623,0.5207091906378346
13,resstock-amy2018-2021-release-1-411001,744,0.6476168364796402,0.38339367645664846,0.0,0.15591397849462366,0.46774193548387094,0.7246913003224519
14,resstock-amy2018-2021-release-1-425540,744,0.11185971165065883,0.11926195104100916,0.039321395382285115,0.6827956989247311,0.0,0.2393741441830512
15,resstock-amy2018-2021-release-1-4421,744,0.7851320408254622,0.2971498089027234,0.30086934268474574,0.05510752688172043,0.5403225806451613,0.8202045162418677
16,resstock-amy2018-2021-release-1-460412,744,0.14064588092773495,0.23135085921950638,0.0,0.6290322580645161,0.020161290322580645,0.5106587439001868
17,resstock-amy2018-2021-release-1-467125,744,0.22222178552540078,0.2228054270700578,0.0992563970386982,0.5752688172043011,0.036290322580645164,0.534411087391838
18,resstock-amy2018-2021-release-1-481052,744,0.3588511245024781,0.2257055779334103,0.14207250922918319,0.01881720430107527,0.021505376344086023,0.541727802686153
19,resstock-amy2018-2021-release-1-485614,744,0.1495792549178605,0.1156254834826813,0.037558022513985635,0.4529569892473118,0.0,0.3007559106354752
20,resstock-amy2018-2021-release-1-498771,744,0.5903833632313297,0.41895316203558924,0.0,0.26881720430107525,0.41397849462365593,0.9142542433354163
21,resstock-amy2018-2021-release-1-525859,744,0.3892920706020568,0.2922270837157043,0.14827373772859573,0.0013440860215053765,0.12231182795698925,0.5261488590509661
22,resstock-amy2018-2021-release-1-538628,744,0.40411648819203017,0.3707209355502525,0.03654645644128322,0.3817204301075269,0.18010752688172044,0.8259873826417231
23,resstock-amy2018-2021-release-1-76701,744,0.2808770442984496,0.33554540401856536,0.0,0.45161290322580644,0.11693548387096774,0.6512897869632128
24,resstock-amy2018-2021-release-1-88386,744,0.20400382551285662,0.22239554417436985,0.0,0.40456989247311825,0.010752688172043012,0.554100691851589
