building_idx,building_name,sample_index,absolute_time_step,day_index,day_of_month,hour_of_day,electrical_storage_soc
0,resstock-amy2018-2021-release-1-112208,0,0,0,1,0,0.0
1,resstock-amy2018-2021-release-1-147002,0,0,0,1,0,0.0
2,resstock-amy2018-2021-release-1-179247,0,0,0,1,0,0.0
3,resstock-amy2018-2021-release-1-199613,0,0,0,1,0,0.0
4,resstock-amy2018-2021-release-1-20199,0,0,0,1,0,0.0
5,resstock-amy2018-2021-release-1-216895,0,0,0,1,0,0.0
6,resstock-amy2018-2021-release-1-223581,0,0,0,1,0,0.0
7,resstock-amy2018-2021-release-1-245723,0,0,0,1,0,0.0
8,resstock-amy2018-2021-release-1-247942,0,0,0,1,0,0.0
9,resstock-amy2018-2021-release-1-319918,0,0,0,1,0,0.0
10,resstock-amy2018-2021-release-1-376570,0,0,0,1,0,0.0
11,resstock-amy2018-2021-release-1-408344,0,0,0,1,0,0.0
12,resstock-amy2018-2021-release-1-409896,0,0,0,1,0,0.0
13,resstock-amy2018-2021-release-1-411001,0,0,0,1,0,0.0
14,resstock-amy2018-2021-release-1-425540,0,0,0,1,0,0.0
15,resstock-amy2018-2021-release-1-4421,0,0,0,1,0,0.0
16,resstock-amy2018-2021-release-1-460412,0,0,0,1,0,0.0
17,resstock-amy2018-2021-release-1-467125,0,0,0,1,0,0.0
18,resstock-amy2018-2021-release-1-481052,0,0,0,1,0,0.0
19,resstock-amy2018-2021-release-1-485614,0,0,0,1,0,0.0
20,resstock-amy2018-2021-release-1-498771,0,0,0,1,0,0.0
21,resstock-amy2018-2021-release-1-525859,0,0,0,1,0,0.0
22,resstock-amy2018-2021-release-1-538628,0,0,0,1,0,0.0
23,resstock-amy2018-2021-release-1-76701,0,0,0,1,0,0.0
24,resstock-amy2018-2021-release-1-88386,0,0,0,1,0,0.0
0,resstock-amy2018-2021-release-1-112208,1,1,0,1,1,0.0
1,resstock-amy2018-2021-release-1-147002,1,1,0,1,1,0.16476206481456757
2,resstock-amy2018-2021-release-1-179247,1,1,0,1,1,0.2004932463169098
3,resstock-amy2018-2021-release-1-199613,1,1,0,1,1,0.06862041354179382
4,resstock-amy2018-2021-release-1-20199,1,1,0,1,1,0.0587662048637867
5,resstock-amy2018-2021-release-1-216895,1,1,0,1,1,0.0
6,resstock-amy2018-2021-release-1-223581,1,1,0,1,1,0.0
7,resstock-amy2018-2021-release-1-245723,1,1,0,1,1,0.0031578573398292065
8,resstock-amy2018-2021-release-1-247942,1,1,0,1,1,0.0
9,resstock-amy2018-2021-release-1-319918,1,1,0,1,1,0.0
10,resstock-amy2018-2021-release-1-376570,1,1,0,1,1,0.0
11,resstock-amy2018-2021-release-1-408344,1,1,0,1,1,0.07347913831472397
12,resstock-amy2018-2021-release-1-409896,1,1,0,1,1,0.1609109789133072
13,resstock-amy2018-2021-release-1-411001,1,1,0,1,1,0.0
14,resstock-amy2018-2021-release-1-425540,1,1,0,1,1,0.01739017851650715
15,resstock-amy2018-2021-release-1-4421,1,1,0,1,1,0.4961184561252594
16,resstock-amy2018-2021-release-1-460412,1,1,0,1,1,0.183469757437706
17,resstock-amy2018-2021-release-1-467125,1,1,0,1,1,0.03356427699327469
18,resstock-amy2018-2021-release-1-481052,1,1,0,1,1,0.0
19,resstock-amy2018-2021-release-1-485614,1,1,0,1,1,0.0
