episode,phase,episode_reward_sum,router_alpha,gate_entropy,gate_max,gate_static_weight,gate_balance_loss,expert_usage_l1_delta,actor_grad_norm,policy_loss,lr_experts,lr_router,expert_0_mean,expert_1_mean,expert_2_mean,expert_3_mean,expert_4_mean,primary/load_tracking/nmbe_pct,primary/load_tracking/cv_rmse_pct,primary/thermal_comfort/portfolio_exceedance_pct
1,router_only,-6671.146035909653,0.5,1.2245827049016953,0.6013660714030266,0.6013660714030266,0.003264915710315108,0.0,0.08832583101466299,-0.0006880579399876297,0.0,0.0001,0.21794905178248883,0.20265723243355752,0.304353316873312,0.1332810554653406,0.14175934828817843,-0.8963944956287581,35.09605206114763,23.521505376344088
2,router_only,-6302.506141424179,0.503333330154419,1.218177568912506,0.6027045339345932,0.6027045339345932,0.0027582001115661115,0.041287069022655457,0.0912474018521607,3.512228431645781e-06,0.0,0.0001,0.21333930902183057,0.20928139351308345,0.31468740478157997,0.11724726408720017,0.1454446341842413,-0.004640911697602203,35.435188510260545,22.20967741935484
3,router_only,-6270.513614952564,0.5066666603088379,1.2058743506669998,0.6049758866429329,0.6049758866429329,0.002426064753672108,0.04302634745836259,0.09135038163512946,-0.0003818437820882536,0.0,0.0001,0.20625641457736493,0.21584267616271974,0.32628732547163963,0.10281698293983936,0.1487966027110815,0.42318371368418534,35.18466820966347,22.075268817204304
4,router_only,-6025.785899937153,0.5099999904632568,1.184157705307007,0.6086984217166901,0.6086984217166901,0.0021880110492929817,0.05162338595837353,0.09932641293853521,-0.0011077550472691656,0.0,0.0001,0.19344549998641014,0.22145200818777083,0.34439412504434586,0.08981620278209448,0.15089216232299804,0.5429824681841121,35.3797340038349,21.177419354838708
5,router_only,-5778.312729537487,0.5133333206176758,1.1486320585012435,0.6165419787168502,0.6165419787168502,0.001847352145705372,0.06812857501208783,0.10171016380190849,-0.0011999658709100913,0.0,0.0001,0.18129361905157565,0.23286511711776256,0.3670453056693077,0.0798924183472991,0.13890354223549367,0.7948874802865195,34.51592040874088,20.306451612903224
6,router_only,-5549.183146715164,0.5166666507720947,1.0979527682065964,0.6268278449773789,0.6268278449773789,0.0017428893828764559,0.07402569577097892,0.1185441279783845,-0.002267063748149667,0.0,0.0001,0.16994764991104602,0.2397057417780161,0.39721752926707266,0.06954392809420824,0.12358515411615371,0.8739211007640453,34.49343738006348,19.5752688172043
7,router_only,-5432.725438177586,0.5199999809265137,1.0538332879543304,0.6356500744819641,0.6356500744819641,0.0019800001697149127,0.05182477291673428,0.11005335077643394,-0.0017418927174730925,0.0,0.0001,0.1608649507164955,0.23772015161812304,0.42312991321086885,0.06285683121532201,0.11542815137654543,1.2119658785108318,34.034739019066905,19.155913978494624
8,router_only,-5420.477601110935,0.5233333110809326,1.0028288438916206,0.6455837428569794,0.6455837428569794,0.002523378835758194,0.0561283650808036,0.10224668104201555,-0.0018932677488919581,0.0,0.0001,0.1526046808809042,0.2343475680798292,0.4511941000819206,0.05760080059990287,0.10425285715609789,1.6471315907999156,33.37932550053857,18.978494623655916
9,router_only,-5161.045872628689,0.5266666412353516,0.9671830609440804,0.651506082713604,0.651506082713604,0.0031055148923769594,0.03747718008235099,0.10262914784252644,-0.0015028141031507402,0.0,0.0001,0.1467505905777216,0.23740554600954056,0.46687471196055413,0.05398637373000383,0.0949827840551734,1.6787286266364003,33.561987873556916,18.102150537634408
10,router_only,-5156.874445557594,0.5299999713897705,0.9314610242843628,0.6578603178262711,0.6578603178262711,0.003707462822785601,0.03469476420432331,0.10810804478824139,-0.0016363298360374755,0.0,0.0001,0.14264352917671203,0.2409902699291706,0.48063736483454705,0.05142355654388666,0.08430527523159981,1.7354477185153805,33.01687556122263,18.166666666666668
