episode,phase,episode_reward_sum,router_alpha,gate_entropy,gate_max,gate_static_weight,gate_balance_loss,expert_usage_l1_delta,actor_grad_norm,policy_loss,lr_experts,lr_router,expert_0_mean,expert_1_mean,expert_2_mean,expert_3_mean,expert_4_mean,primary/load_tracking/nmbe_pct,primary/load_tracking/cv_rmse_pct,primary/thermal_comfort/portfolio_exceedance_pct
1,static_actor,-41093.05766296387,0.0,7.368272463281755e-07,1.0,1.0,0.0,0.0,0.32905301079154015,-0.008895230933558197,0.0003,0.0,0.23999999463558197,0.20000000298023224,0.4000000059604645,0.07999999821186066,0.07999999821186066,37.82941815587256,70.52371411296134,80.10752688172043
2,static_actor,-39792.48157501221,0.0,7.368272463281755e-07,1.0,1.0,0.0,0.0,0.3219950802624226,-0.01404229442414362,0.0003,0.0,0.23999999463558197,0.20000000298023224,0.4000000059604645,0.07999999821186066,0.07999999821186066,31.015803508571675,65.5951897803852,80.1236559139785
3,static_actor,-37565.648597717285,0.0,7.368272463281755e-07,1.0,1.0,0.0,0.0,0.32001614645123483,-0.01671396492602071,0.0003,0.0,0.23999999463558197,0.20000000298023224,0.4000000059604645,0.07999999821186066,0.07999999821186066,28.956146955947087,60.13369288616528,78.95161290322581
4,static_actor,-36619.07427215576,0.0,7.368272463281755e-07,1.0,1.0,0.0,0.0,0.3395546115934849,-0.01957911057070305,0.0003,0.0,0.23999999463558197,0.20000000298023224,0.4000000059604645,0.07999999821186066,0.07999999821186066,27.32284183564515,58.233170274688106,77.63440860215054
5,static_actor,-34643.29174995422,0.0,7.368272463281755e-07,1.0,1.0,0.0,0.0,0.33902211487293243,-0.01947636597251403,0.0003,0.0,0.23999999463558197,0.20000000298023224,0.4000000059604645,0.07999999821186066,0.07999999821186066,23.74560640501721,53.61228460675418,76.11827956989248
6,static_actor,-32970.23411178589,0.0,7.368272463281755e-07,1.0,1.0,0.0,0.0,0.3827380821108818,-0.020984272912028246,0.0003,0.0,0.23999999463558197,0.20000000298023224,0.4000000059604645,0.07999999821186066,0.07999999821186066,21.341724407420614,51.55806992518555,74.88709677419355
7,static_actor,-32341.662677764893,0.0,7.368272463281755e-07,1.0,1.0,0.0,0.0,0.36043264865875246,-0.02350598434859421,0.0003,0.0,0.23999999463558197,0.20000000298023224,0.4000000059604645,0.07999999821186066,0.07999999821186066,19.628579344919654,51.57930399693655,74.21505376344086
8,static_actor,-31662.343063354492,0.0,7.368272463281755e-07,1.0,1.0,0.0,0.0,0.41387712880969046,-0.023394635424483567,0.0003,0.0,0.23999999463558197,0.20000000298023224,0.4000000059604645,0.07999999821186066,0.07999999821186066,16.0628182402374,48.12284698401502,73.55913978494624
9,static_actor,-30060.956663131714,0.0,7.368272463281755e-07,1.0,1.0,0.0,0.0,0.4184258505702019,-0.023620716819641528,0.0003,0.0,0.23999999463558197,0.20000000298023224,0.4000000059604645,0.07999999821186066,0.07999999821186066,13.553505762117988,45.59316791667602,72.68279569892474
10,static_actor,-28567.848402023315,0.0,7.368272463281755e-07,1.0,1.0,0.0,0.0,0.4095483012497425,-0.024554725945927204,0.0003,0.0,0.23999999463558197,0.20000000298023224,0.4000000059604645,0.07999999821186066,0.07999999821186066,9.303423821523161,42.552305587336335,70.88172043010753
11,static_actor,-28032.15967464447,0.0,7.368272463281755e-07,1.0,1.0,0.0,0.0,0.5004956737160683,-0.026928516938278337,0.0003,0.0,0.23999999463558197,0.20000000298023224,0.4000000059604645,0.07999999821186066,0.07999999821186066,9.610527993637294,42.083367471677725,70.20430107526882
12,static_actor,-27221.901191711426,0.0,7.368272463281755e-07,1.0,1.0,0.0,0.0,0.44164898321032525,-0.02545409513695631,0.0003,0.0,0.23999999463558197,0.20000000298023224,0.4000000059604645,0.07999999821186066,0.07999999821186066,6.384487577538693,42.24218845170032,69.28494623655914
13,static_actor,-26416.95918083191,0.0,7.368272463281755e-07,1.0,1.0,0.0,0.0,0.5133999273180961,-0.028084127010515658,0.0003,0.0,0.23999999463558197,0.20000000298023224,0.4000000059604645,0.07999999821186066,0.07999999821186066,5.621083401673876,42.17072328073394,68.0
14,static_actor,-26120.494201660156,0.0,7.368272463281755e-07,1.0,1.0,0.0,0.0,0.4638068348169327,-0.028099017252679916,0.0003,0.0,0.23999999463558197,0.20000000298023224,0.4000000059604645,0.07999999821186066,0.07999999821186066,4.494000478591413,39.329990983149095,68.48924731182797
15,static_actor,-25346.83533668518,0.0,7.368272463281755e-07,1.0,1.0,0.0,0.0,0.4801742136478424,-0.02908498691394925,0.0003,0.0,0.23999999463558197,0.20000000298023224,0.4000000059604645,0.07999999821186066,0.07999999821186066,1.629260508153305,39.19313397984538,67.33333333333333
16,static_actor,-24846.671844482422,0.0,7.368272463281755e-07,1.0,1.0,0.0,0.0,0.5170927844941616,-0.02850763995993475,0.0003,0.0,0.23999999463558197,0.20000000298023224,0.4000000059604645,0.07999999821186066,0.07999999821186066,-1.5027754521274166,38.932872772373386,66.95161290322581
